artist,song_name,quarterly_date,n_streams
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2017 Q1,21900433
JP Cooper,September Song,2017 Q1,21433265
Zara Larsson,I Would Like,2017 Q1,19702032
James Arthur,Say You Won't Let Go,2017 Q1,19138112
Steve Aoki,Just Hold On,2017 Q1,17295389
The Weeknd,Starboy,2017 Q1,16986400
The Weeknd,I Feel It Coming,2017 Q1,16953639
Stormzy,Big For Your Boots,2017 Q1,16903459
The Vamps,All Night,2017 Q1,15559300
NEIKED,Sexual,2017 Q1,15399602
Drake,Fake Love,2017 Q1,15322744
The Chainsmokers,Closer,2017 Q1,15108018
Martin Garrix,Scared to Be Lonely,2017 Q1,15023916
Sean Paul,No Lie,2017 Q1,14285198
Ed Sheeran,New Man,2017 Q1,14264656
Ed Sheeran,How Would You Feel (Paean),2017 Q1,13799608
Maroon 5,Don't Wanna Know,2017 Q1,13760300
Martin Jensen,Solo Dance,2017 Q1,13739205
The Chainsmokers,Something Just Like This,2017 Q1,13292131
Drake,One Dance,2017 Q1,13171424
Katy Perry,Chained To The Rhythm,2017 Q1,13058411
Ed Sheeran,Perfect,2017 Q1,13025309
Jonas Blue,By Your Side,2017 Q1,13004901
Ed Sheeran,Happier,2017 Q1,12916138
Tom Zanetti,You Want Me (feat. Sadie Ama),2017 Q1,12568437
Kygo,It Ain't Me (with Selena Gomez),2017 Q1,12477248
Dua Lipa,Be the One,2017 Q1,12404194
Sage The Gemini,Now and Later,2017 Q1,12305077
Machine Gun Kelly,Bad Things (with Camila Cabello),2017 Q1,12221361
Ed Sheeran,What Do I Know?,2017 Q1,12146039
Robin Schulz,Shed a Light,2017 Q1,12083809
Adele,Water Under the Bridge,2017 Q1,12078971
Migos,Bad and Boujee (feat. Lil Uzi Vert),2017 Q1,11890988
Major Lazer,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),2017 Q1,11777203
Nevada,The Mack,2017 Q1,11577380
Ed Sheeran,Dive,2017 Q1,11506710
Alessia Cara,"How Far I'll Go - From ""Moana""",2017 Q1,11466494
Julia Michaels,Issues,2017 Q1,11445592
Little Mix,Shout Out to My Ex,2017 Q1,11418380
Bruno Mars,24K Magic,2017 Q1,11003869
Ed Sheeran,Barcelona,2017 Q1,10707295
