artist,song_name,quarterly_date,n_streams
Bugzy Malone,Through The Night (feat. DJ Luck & MC Neat),2017 Q3,1157544
Ed Sheeran,How Would You Feel (Paean),2017 Q3,1149884
Sean Paul,No Lie,2017 Q3,1126982
Coldplay,Viva La Vida,2017 Q3,1118520
Calvin Harris,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",2017 Q3,1078427
Craig David,Heartline,2017 Q3,1074090
Fifth Harmony,Down,2017 Q3,1070382
Auli'i Cravalho,How Far I'll Go,2017 Q3,1069295
Wale,"My Love (feat. Major Lazer, WizKid, Dua Lipa)",2017 Q3,1068944
Black Eyed Peas,Where Is The Love?,2017 Q3,1068768
WALK THE MOON,Shut Up and Dance,2017 Q3,1053236
French Montana,A Lie,2017 Q3,1017258
Jax Jones,Instruction (feat. Demi Lovato & Stefflon Don),2017 Q3,935454
Linkin Park,What I've Done,2017 Q3,917321
Linkin Park,Heavy (feat. Kiiara),2017 Q3,915244
Ed Sheeran,Nancy Mulligan,2017 Q3,903031
Lorde,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",2017 Q3,894326
Sam Smith,Stay With Me,2017 Q3,891456
Ed Sheeran,Shape of You - Stormzy Remix,2017 Q3,862661
Katy Perry,Chained To The Rhythm,2017 Q3,850104
DJ Snake,Let Me Love You,2017 Q3,846760
Liam Gallagher,For What It's Worth,2017 Q3,834534
Jess Glynne,Don't Be so Hard on Yourself,2017 Q3,833332
Alex Ross,Dreams (feat. Dakota & T-Pain),2017 Q3,830006
Jonas Blue,By Your Side,2017 Q3,824372
Calvin Harris,This Is What You Came For (feat. Rihanna),2017 Q3,806661
Martin Solveig,All Stars,2017 Q3,803621
Ariana Grande,Into You,2017 Q3,801915
Mumford & Sons,I Will Wait,2017 Q3,794650
Eminem,Without Me,2017 Q3,792660
Giggs,Lock Doh,2017 Q3,790383
Kasabian,You're in Love with a Psycho,2017 Q3,774969
Lotto Boyzz,No Don,2017 Q3,763313
Ralph Felix,The Heat (I Wanna Dance with Somebody),2017 Q3,762213
James Bay,Let It Go,2017 Q3,756167
Foo Fighters,The Sky Is A Neighborhood,2017 Q3,734717
Post Malone,Go Flex,2017 Q3,727149
Big Shaq,Man's Not Hot,2017 Q3,707698
Moon Taxi,Two High,2017 Q3,707288
21 Savage,Bank Account,2017 Q3,703812
MK,17,2017 Q3,702044
Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017 Q3,685539
HAIM,Want You Back,2017 Q3,636743
Gucci Mane,Curve (feat. The Weeknd),2017 Q3,632218
Calvin Harris,"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)",2017 Q3,623129
Lady Gaga,The Cure,2017 Q3,597356
Imagine Dragons,Whatever It Takes,2017 Q3,595294
Paramore,Hard Times,2017 Q3,590032
Halsey,Now Or Never,2017 Q3,589189
Toploader,Dancing in the Moonlight,2017 Q3,586030
XXXTENTACION,Revenge,2017 Q3,570898
XXXTENTACION,Look At Me!,2017 Q3,561668
Jax Jones,You Don't Know Me,2017 Q3,555260
Zara Larsson,I Would Like,2017 Q3,554877
Major Lazer,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),2017 Q3,552784
Franz Ferdinand,Take Me Out,2017 Q3,549335
Anne-Marie,Heavy,2017 Q3,532164
Linkin Park,One Step Closer,2017 Q3,527172
NEIKED,Call Me,2017 Q3,525886
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),2017 Q3,520653
Fleetwood Mac,The Chain - 2004 Remaster,2017 Q3,519591
Fleetwood Mac,Everywhere - Remastered,2017 Q3,516501
Halsey,Now Or Never,2017 Q3,505055
SZA,Love Galore (feat. Travis Scott),2017 Q3,497925
Linkin Park,Crawling,2017 Q3,489478
Linkin Park,Papercut,2017 Q3,449613
Linkin Park,Good Goodbye (feat. Pusha T and Stormzy),2017 Q3,442422
Post Malone,I Fall Apart,2017 Q3,419493
Macklemore,Good Old Days (feat. Kesha),2017 Q3,418565
Calvin Harris,Faking It (feat. Kehlani & Lil Yachty),2017 Q3,417379
Calvin Harris,Skrt On Me (feat. Nicki Minaj),2017 Q3,407558
Lana Del Rey,Lust For Life (with The Weeknd),2017 Q3,400848
Foo Fighters,Run,2017 Q3,397800
Linkin Park,One More Light,2017 Q3,385271
Louisa,Best Behaviour,2017 Q3,378731
Calvin Harris,Prayers Up (feat. Travis Scott & A-Trak),2017 Q3,377525
Lana Del Rey,Summer Bummer (feat. A$AP Rocky & Playboi Carti),2017 Q3,377517
Coldplay,Miracles (Someone Special),2017 Q3,377014
ALMA,Phases,2017 Q3,363397
Kygo,Stargazing,2017 Q3,360233
Julia Michaels,Issues,2017 Q3,356812
Arcade Fire,Everything Now,2017 Q3,352460
Linkin Park,Bleed It Out,2017 Q3,349642
Lana Del Rey,Love,2017 Q3,348817
"Tyler, The Creator",Who Dat Boy (feat. A$AP Rocky),2017 Q3,348012
Liam Gallagher,Chinatown,2017 Q3,346131
DJ Snake,A Different Way (with Lauv),2017 Q3,343126
Lana Del Rey,Cherry,2017 Q3,340053
Linkin Park,Faint,2017 Q3,334160
WizKid,Come Closer (feat. Drake),2017 Q3,334053
Lana Del Rey,13 Beaches,2017 Q3,333311
Bugzy Malone,Bruce Wayne,2017 Q3,331555
Calvin Harris,"Holiday (feat. Snoop Dogg, John Legend & Takeoff)",2017 Q3,329306
Miley Cyrus,Younger Now,2017 Q3,328874
Linkin Park,Battle Symphony,2017 Q3,320408
Linkin Park,Somewhere I Belong,2017 Q3,319645
Bugzy Malone,Bruce Wayne,2017 Q3,318428
The Killers,The Man,2017 Q3,313767
Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017 Q3,312486
"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),2017 Q3,308343
Dave,Tequila,2017 Q3,306319
Lana Del Rey,Beautiful People Beautiful Problems (feat. Stevie Nicks),2017 Q3,306132
Andra Day,Rise Up,2017 Q3,303570
Foo Fighters,T-Shirt,2017 Q3,299266
"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),2017 Q3,297339
Foo Fighters,Make It Right,2017 Q3,296628
The Vamps,All Night,2017 Q3,295961
Foo Fighters,Arrows,2017 Q3,295665
"Tyler, The Creator",See You Again (feat. Kali Uchis),2017 Q3,295063
Jessie Ware,Alone,2017 Q3,294835
Fall Out Boy,The Last Of The Real Ones,2017 Q3,293435
Lana Del Rey,White Mustang,2017 Q3,292525
HAIM,Little of Your Love,2017 Q3,291730
"Tyler, The Creator",Who Dat Boy (feat. A$AP Rocky),2017 Q3,291183
DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),2017 Q3,290982
Linkin Park,Points of Authority,2017 Q3,288359
Bugzy Malone,King Of The North,2017 Q3,287554
Lana Del Rey,Groupie Love (feat. A$AP Rocky),2017 Q3,287416
The Vamps,All Night,2017 Q3,286390
KSI,Creature,2017 Q3,286026
Joe Weller,Queen & a Double,2017 Q3,283175
Foo Fighters,La Dee Da,2017 Q3,283046
Wretch 32,Tell Me,2017 Q3,281424
XXXTENTACION,Depression & Obsession,2017 Q3,280210
Oasis,Live Forever,2017 Q3,280034
"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),2017 Q3,279612
Katy Perry,Bon appétit,2017 Q3,278833
Linkin Park,Breaking the Habit,2017 Q3,277959
Nirvana,Smells Like Teen Spirit,2017 Q3,277274
Metro Boomin,No Complaints,2017 Q3,272792
Foals,My Number,2017 Q3,270520
HAIM,Nothing's Wrong,2017 Q3,268721
Fifth Harmony,He Like That,2017 Q3,267929
dodie,In The Middle,2017 Q3,264813
BTS,DNA,2017 Q3,264099
Neck Deep,In Bloom,2017 Q3,264069
Imagine Dragons,Radioactive,2017 Q3,263080
Eminem,Rap God,2017 Q3,262993
Sam Smith,I'm Not The Only One,2017 Q3,261625
The Vamps,Middle Of The Night,2017 Q3,258966
Ed Sheeran,Eraser,2017 Q3,257494
Galantis,Hunter,2017 Q3,257302
Anton Powers,Baby,2017 Q3,257034
The Wombats,Let's Dance to Joy Division,2017 Q3,253517
George Ezra,Budapest,2017 Q3,250997
The 1975,Chocolate,2017 Q3,246024
Post Malone,rockstar,2017 Q4,38747222
Camila Cabello,Havana (feat. Young Thug),2017 Q4,32731070
Dua Lipa,New Rules,2017 Q4,28381245
Marshmello,Silence,2017 Q4,24120880
ZAYN,Dusk Till Dawn - Radio Edit,2017 Q4,21667906
Big Shaq,Man's Not Hot,2017 Q4,21461154
Post Malone,I Fall Apart,2017 Q4,20208678
Avicii,Lonely Together (feat. Rita Ora),2017 Q4,18977395
Ed Sheeran,Perfect,2017 Q4,18974110
Logic,1-800-273-8255,2017 Q4,18430640
Stefflon Don,Hurtin' Me,2017 Q4,17336178
NF,Let You Down,2017 Q4,17319396
Rita Ora,Anywhere,2017 Q4,16926176
Mabel,Finders Keepers,2017 Q4,16535167
Khalid,Young Dumb & Broke,2017 Q4,16408245
French Montana,Unforgettable,2017 Q4,16245006
Yungen,Bestie (feat. Yxng Bane),2017 Q4,15953072
Mariah Carey,All I Want for Christmas Is You,2017 Q4,15379659
Charlie Puth,How Long,2017 Q4,15203637
MK,17,2017 Q4,14683390
Selena Gomez,Wolves,2017 Q4,14229792
Wham!,Last Christmas,2017 Q4,13954357
CamelPhat,Cola,2017 Q4,13716006
Sam Smith,Too Good At Goodbyes,2017 Q4,13701910
Clean Bandit,I Miss You (feat. Julia Michaels),2017 Q4,13469832
Post Malone,Congratulations,2017 Q4,13071955
Ed Sheeran,Shape of You,2017 Q4,12600178
Lil Uzi Vert,XO Tour Llif3,2017 Q4,12374693
CNCO,Reggaetón Lento (Remix),2017 Q4,11930006
The Pogues,Fairytale of New York (feat. Kirsty MacColl),2017 Q4,11771706
Lil Pump,Gucci Gang,2017 Q4,11581119
Demi Lovato,Sorry Not Sorry,2017 Q4,11338640
Justin Bieber,Friends (with BloodPop®),2017 Q4,11139316
Dave,No Words,2017 Q4,10711666
Luis Fonsi,Despacito - Remix,2017 Q4,10687649
Sam Smith,Too Good At Goodbyes - Edit,2017 Q4,10430465
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),2017 Q4,10210715
P!nk,What About Us,2017 Q4,9949130
Band Aid,Do They Know It's Christmas? - 1984 Version,2017 Q4,9793791
21 Savage,Bank Account,2017 Q4,9673077
J Balvin,Mi Gente (feat. Beyoncé),2017 Q4,9646597
Macklemore,Glorious (feat. Skylar Grey),2017 Q4,9526179
Liam Payne,Bedroom Floor,2017 Q4,9197909
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2017 Q4,9178163
Stormzy,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",2017 Q4,9035749
J Balvin,Mi Gente,2017 Q4,8754845
Maroon 5,What Lovers Do (feat. SZA),2017 Q4,8727994
Kygo,Stargazing,2017 Q4,8705934
Chris Brown,Questions,2017 Q4,8694119
Portugal. The Man,Feel It Still,2017 Q4,8681181
The Killers,Mr. Brightside,2017 Q4,8529243
Michael Bublé,It's Beginning to Look a Lot like Christmas,2017 Q4,8409160
Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),2017 Q4,8355714
Cardi B,Bodak Yellow,2017 Q4,8343154
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,2017 Q4,8043858
Taylor Swift,Look What You Made Me Do,2017 Q4,7995055
Maroon 5,What Lovers Do (feat. SZA),2017 Q4,7966864
Jason Derulo,If I'm Lucky,2017 Q4,7866074
Sigala,Came Here for Love,2017 Q4,7838527
Craig David,Heartline,2017 Q4,7835415
Jason Derulo,Tip Toe (feat. French Montana),2017 Q4,7788159
Hardy Caprio,Unsigned,2017 Q4,7672774
Yxng Bane,Rihanna,2017 Q4,7516436
Kendrick Lamar,HUMBLE.,2017 Q4,7397824
Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017 Q4,7363030
Rita Ora,Your Song,2017 Q4,7275271
Eminem,River (feat. Ed Sheeran),2017 Q4,7250241
XXXTENTACION,Jocelyn Flores,2017 Q4,7231464
Ed Sheeran,Galway Girl,2017 Q4,7099314
Elton John,Step Into Christmas,2017 Q4,7082222
Charlie Puth,Attention,2017 Q4,7016209
Jonas Blue,Mama,2017 Q4,6919198
Shakin' Stevens,Merry Christmas Everyone - Remastered,2017 Q4,6817032
Ed Sheeran,Castle on the Hill,2017 Q4,6617211
James Hype,More Than Friends,2017 Q4,6588076
Lotto Boyzz,No Don,2017 Q4,6551719
Ariana Grande,Santa Tell Me,2017 Q4,6539073
Clean Bandit,Symphony (feat. Zara Larsson),2017 Q4,6477790
Shawn Mendes,There's Nothing Holdin' Me Back,2017 Q4,6351216
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,2017 Q4,6343386
J Hus,Did You See,2017 Q4,6254592
Chris Brown,Questions,2017 Q4,6252435
John Lennon,Happy Xmas (War Is Over) - Remastered 2010,2017 Q4,6250898
Post Malone,Go Flex,2017 Q4,6237929
Travis Scott,BUTTERFLY EFFECT,2017 Q4,6236395
Eminem,Walk On Water (feat. Beyoncé),2017 Q4,6092482
Sam Smith,One Last Song,2017 Q4,6014084
J Hus,Spirit,2017 Q4,5972238
Imagine Dragons,Thunder,2017 Q4,5935824
Giggs,Linguo,2017 Q4,5899680
DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2017 Q4,5889326
James Arthur,Say You Won't Let Go,2017 Q4,5745846
The Kooks,Naive,2017 Q4,5645511
Post Malone,White Iverson,2017 Q4,5605865
Wizzard,I Wish It Could Be Christmas Everyday,2017 Q4,5593438
Paul McCartney,Wonderful Christmastime - Remastered 2011 / Edited Version,2017 Q4,5545291
RAYE,Decline,2017 Q4,5507604
Bing Crosby,White Christmas,2017 Q4,5480465
Chris Rea,Driving Home for Christmas,2017 Q4,5368491
Anne-Marie,Heavy,2017 Q4,5368396
Post Malone,Candy Paint,2017 Q4,5334731
The Chainsmokers,Something Just Like This,2017 Q4,5315603
Liam Payne,Strip That Down,2017 Q4,5315067
Andy Williams,It's the Most Wonderful Time of the Year,2017 Q4,5266916
Oasis,Wonderwall - Remastered,2017 Q4,5198450
Ramz,Barking,2017 Q4,5131008
Ed Sheeran,Happier,2017 Q4,5108450
Avicii,Without You (feat. Sandro Cavazza),2017 Q4,5078057
Slade,Merry Xmas Everybody,2017 Q4,5004416
Drake,One Dance,2017 Q4,5000382
Drake,Passionfruit,2017 Q4,4971262
Stormzy,Big For Your Boots,2017 Q4,4844002
Louis Tomlinson,Back to You (feat. Bebe Rexha & Digital Farm Animals),2017 Q4,4769794
Michael Bublé,Holly Jolly Christmas,2017 Q4,4746515
Niall Horan,Too Much To Ask,2017 Q4,4676943
Justin Bieber,Mistletoe,2017 Q4,4589866
Kylie Minogue,Santa Baby,2017 Q4,4562964
David Guetta,Dirty Sexy Money (feat. Charli XCX & French Montana),2017 Q4,4548113
Imagine Dragons,Believer,2017 Q4,4546116
Drake,Signs,2017 Q4,4495765
The Script,Rain,2017 Q4,4448718
Childish Gambino,Redbone,2017 Q4,4431232
James Arthur,Naked,2017 Q4,4388838
Ariana Grande,One Last Time,2017 Q4,4359360
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),2017 Q4,4343247
DJ Snake,A Different Way (with Lauv),2017 Q4,4333374
Macklemore,Good Old Days (feat. Kesha),2017 Q4,4308431
Jorja Smith,On My Mind (Jorja Smith X Preditah),2017 Q4,4273785
Rudimental,Sun Comes Up (feat. James Arthur),2017 Q4,4270619
Sam Smith,Pray,2017 Q4,4259915
Leona Lewis,One More Sleep,2017 Q4,4240733
Rak-Su,Dimelo (feat. Wyclef Jean & Naughty Boy) - X Factor Recording,2017 Q4,4226224
Ed Sheeran,Supermarket Flowers,2017 Q4,4195764
Katy Perry,Swish Swish,2017 Q4,4157035
Jax Jones,Instruction,2017 Q4,4093654
Migos,MotorSport,2017 Q4,3983699
Arctic Monkeys,Fluorescent Adolescent,2017 Q4,3968026
Taylor Swift,...Ready For It?,2017 Q4,3947124
Oasis,Don't Look Back in Anger - Remastered,2017 Q4,3885215
Khalid,Location,2017 Q4,3881895
Coldplay,Christmas Lights,2017 Q4,3855037
Travis Scott,goosebumps,2017 Q4,3854174
Post Malone,rockstar,2017 Q4,3810211
Axwell /\ Ingrosso,More Than You Know,2017 Q4,3740967
Taylor Swift,Gorgeous,2017 Q4,3740215
Chris & Kem,Little Bit Leave It,2017 Q4,3683050
NEIKED,Sexual,2017 Q4,3681179
Jax Jones,You Don't Know Me - Radio Edit,2017 Q4,3673097
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",2017 Q4,3672882
Boney M.,Mary's Boy Child / Oh My Lord,2017 Q4,3662438
CNCO,Reggaetón Lento (Remix),2017 Q4,3632322
Jona Lewie,Stop the Cavalry,2017 Q4,3620839
Pretenders,2000 Miles - 2007 Remaster,2017 Q4,3617627
Ed Sheeran,What Do I Know?,2017 Q4,3612593
Craig David,I Know You,2017 Q4,3589666
Little Mix,Power (feat. Stormzy),2017 Q4,3574782
Sam Smith,Have Yourself A Merry Little Christmas,2017 Q4,3559545
Camila Cabello,Crying in the Club,2017 Q4,3485690
Idina Menzel,Baby It's Cold Outside (duet with Michael Bublé),2017 Q4,3483521
Krept & Konan,Ask Flipz,2017 Q4,3464913
Niall Horan,Slow Hands,2017 Q4,3443457
Martin Jensen,Solo Dance,2017 Q4,3374379
J Hus,Bouff Daddy,2017 Q4,3351474
Not3s,Aladdin,2017 Q4,3337759
ALMA,Chasing Highs,2017 Q4,3303875
N.E.R.D,Lemon,2017 Q4,3303802
The Kooks,She Moves In Her Own Way,2017 Q4,3290521
Mud,Lonely This Christmas,2017 Q4,3270953
R. Kelly,Ignition - Remix,2017 Q4,3262805
Lauv,I Like Me Better,2017 Q4,3255387
Ed Sheeran,Thinking out Loud,2017 Q4,3247421
Kanye West,Stronger,2017 Q4,3222059
Liam Gallagher,Wall of Glass,2017 Q4,3194532
Two Door Cinema Club,What You Know,2017 Q4,3189028
Bastille,Pompeii,2017 Q4,3181509
Steel Banglez,"Bad (feat. Yungen, MoStack, Mr Eazi & Not3s)",2017 Q4,3062023
JP Cooper,September Song,2017 Q4,3030333
Martin Solveig,Places,2017 Q4,3008556
Kelly Clarkson,Underneath the Tree,2017 Q4,2992338
ALMA,Phases,2017 Q4,2967311
Dave,Samantha,2017 Q4,2962375
Hailee Steinfeld,Most Girls,2017 Q4,2953133
Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,2017 Q4,2951153
Matt Terry,Sucker for You,2017 Q4,2949674
Fall Out Boy,The Last Of The Real Ones,2017 Q4,2944347
TLC,No Scrubs,2017 Q4,2929512
Eartha Kitt,Santa Baby (with Henri René & His Orchestra),2017 Q4,2910369
J Hus,Fisherman (feat. MoStack & MIST),2017 Q4,2852582
James Hype,More Than Friends (feat. Kelli-Leigh),2017 Q4,2849240
David Guetta,2U (feat. Justin Bieber),2017 Q4,2835487
Red Hot Chili Peppers,Can't Stop,2017 Q4,2785982
Darlene Love,Christmas (Baby Please Come Home),2017 Q4,2773987
Bryson Tiller,Run Me Dry,2017 Q4,2761717
Arctic Monkeys,Do I Wanna Know?,2017 Q4,2757894
Kanye West,Gold Digger,2017 Q4,2738485
Not3s,My Lover,2017 Q4,2735987
P!nk,What About Us,2017 Q4,2728225
The Jackson 5,Santa Claus Is Coming To Town,2017 Q4,2726616
Snakehips,Either Way (feat. Joey Bada$$),2017 Q4,2725018
Snow Patrol,Chasing Cars,2017 Q4,2712035
Ed Sheeran,Photograph,2017 Q4,2708656
The Weeknd,Starboy,2017 Q4,2705615
Wretch 32,Tell Me,2017 Q4,2703677
Nat King Cole,The Christmas Song (Merry Christmas To You),2017 Q4,2682382
Not3s,Aladdin,2017 Q4,2661082
Little Mix,Is Your Love Enough?,2017 Q4,2646047
"Earth, Wind & Fire",September,2017 Q4,2611621
Destiny's Child,8 Days of Christmas,2017 Q4,2611410
Sam Smith,Pray,2017 Q4,2572799
Offset,Ric Flair Drip (& Metro Boomin),2017 Q4,2538167
Skrillex,Would You Ever,2017 Q4,2530348
Fuse ODG,Boa Me (feat. Ed Sheeran & Mugeez),2017 Q4,2520068
Mykola Dmytrovych Leontovych,Carol of the Bells,2017 Q4,2469385
Sia,Santa's Coming for Us,2017 Q4,2466177
The Chainsmokers,Closer,2017 Q4,2437620
Michael Bublé,Cold December Night,2017 Q4,2399832
Black Eyed Peas,Where Is The Love?,2017 Q4,2390881
Sam Smith,Burning,2017 Q4,2390211
Alan Walker,All Falls Down (feat. Juliander),2017 Q4,2385107
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2017 Q4,2332629
José Feliciano,Feliz Navidad,2017 Q4,2330508
Bobby Helms,Jingle Bell Rock,2017 Q4,2326788
Krept & Konan,Wo Wo Wo,2017 Q4,2325463
Little Mix,Shout Out to My Ex,2017 Q4,2321495
The White Stripes,Seven Nation Army,2017 Q4,2315128
Mabel,Finders Keepers,2017 Q4,2249213
G-Eazy,No Limit,2017 Q4,2230664
James Bay,Let It Go,2017 Q4,2222754
Sam Smith,Stay With Me,2017 Q4,2159407
Michael Bublé,White Christmas (with Shania Twain),2017 Q4,2152260
The Vamps,Jingle Bell Rock,2017 Q4,2063640
Niall Horan,Too Much To Ask,2017 Q4,2056308
P!nk,Revenge (feat. Eminem),2017 Q4,2053630
Future,Mask Off,2017 Q4,2052460
Eminem,Walk On Water (feat. Beyoncé),2017 Q4,2043183
Eminem,Without Me,2017 Q4,2009806
Lorde,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",2017 Q4,2006980
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),2017 Q4,1997596
Future,Mask Off,2017 Q4,1972041
Kurt Nilsen,"Let It Snow, Let It Snow, Let It Snow",2017 Q4,1948906
Elvis Presley,Blue Christmas,2017 Q4,1934153
Little Mix,Power (feat. Stormzy),2017 Q4,1930564
Sam Smith,No Peace,2017 Q4,1886317
Liam Gallagher,For What It's Worth,2017 Q4,1861761
Florence + The Machine,You've Got The Love,2017 Q4,1849783
G-Eazy,Him & I (with Halsey),2017 Q4,1848026
Camila Cabello,Never Be the Same,2017 Q4,1847956
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2017 Q4,1839821
Sam Smith,Midnight Train,2017 Q4,1835468
Matt Terry,When Christmas Comes Around,2017 Q4,1832126
Taylor Swift,Look What You Made Me Do,2017 Q4,1798135
Michael Bublé,All I Want for Christmas Is You,2017 Q4,1782991
Foster The People,Pumped Up Kicks,2017 Q4,1780523
Rag'n'Bone Man,Human,2017 Q4,1778140
Miley Cyrus,Malibu,2017 Q4,1777372
Jax Jones,Breathe,2017 Q4,1761951
Dave,How I Met My Ex,2017 Q4,1752763
Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",2017 Q4,1751181
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),2017 Q4,1719390
Major Lazer,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",2017 Q4,1711676
Sam Smith,Say It First,2017 Q4,1696920
Eminem,Believe,2017 Q4,1638813
Meghan Trainor,I'll Be Home,2017 Q4,1608001
Eminem,Like Home (feat. Alicia Keys),2017 Q4,1606572
The Beach Boys,Little Saint Nick - 1991 Remix,2017 Q4,1586364
Michael Bublé,Santa Claus Is Coming to Town,2017 Q4,1585707
Maroon 5,Wait,2017 Q4,1581527
Maroon 5,Help Me Out (with Julia Michaels),2017 Q4,1578670
Michael Bublé,Christmas (Baby Please Come Home),2017 Q4,1571863
Disciples,On My Mind,2017 Q4,1567312
Eminem,Remind Me,2017 Q4,1562309
P!nk,Beautiful Trauma,2017 Q4,1555484
Cliff Richard,Mistletoe and Wine,2017 Q4,1552309
Olivia Holt,Christmas (Baby Please Come Home),2017 Q4,1540185
The Ronettes,Sleigh Ride,2017 Q4,1518674
Luis Fonsi,Échame La Culpa,2017 Q4,1517756
G-Eazy,Him & I,2017 Q4,1505951
Liam Gallagher,Greedy Soul,2017 Q4,1493813
Zedd,Stay (with Alessia Cara),2017 Q4,1488607
Kygo,It Ain't Me (with Selena Gomez),2017 Q4,1485785
Drake,KMT,2017 Q4,1483857
Cheat Codes,No Promises (feat. Demi Lovato),2017 Q4,1479381
Eminem,Bad Husband (feat. X Ambassadors),2017 Q4,1472344
Britney Spears,My Only Wish (This Year),2017 Q4,1456681
Greg Lake,I Believe in Father Christmas,2017 Q4,1454320
Stormzy,Shut Up,2017 Q4,1447066
Not3s,My Lover - Radio Edit,2017 Q4,1444157
East 17,Stay Another Day,2017 Q4,1434306
Kygo,Stranger Things (feat. OneRepublic),2017 Q4,1429692
Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",2017 Q4,1404914
Little Mix,Touch,2017 Q4,1401145
Niall Horan,Slow Hands,2017 Q4,1399653
21 Savage,Ghostface Killers,2017 Q4,1375193
Lily Allen,Somewhere Only We Know,2017 Q4,1359300
Sam Smith,HIM,2017 Q4,1350254
Anita Kerr Singers,Jingle Bell Rock,2017 Q4,1335466
Taylor Swift,Gorgeous,2017 Q4,1271220
Eminem,Tragic Endings (feat. Skylar Grey),2017 Q4,1264564
Jamie Cullum,Show Me The Magic,2017 Q4,1261206
XXXTENTACION,Everybody Dies In Their Nightmares,2017 Q4,1244523
Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),2017 Q4,1242363
Kylie Minogue,At Christmas,2017 Q4,1222736
Charli XCX,Boys,2017 Q4,1215758
Sia,Candy Cane Lane,2017 Q4,1205842
Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,2017 Q4,1197835
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,2017 Q4,1192966
JAY-Z,Numb / Encore,2017 Q4,1179128
Not3s,My Lover,2017 Q4,1173073
Michael Bublé,Jingle Bells (feat. The Puppini Sisters),2017 Q4,1160665
98º,What Christmas Means To Me,2017 Q4,1152610
Bruno Mars,That's What I Like,2017 Q4,1143098
XXXTENTACION,Look At Me!,2017 Q4,1133471
Not3s,Addison Lee (Peng Ting Called Maddison),2017 Q4,1132670
Chuck Berry,Run Rudolph Run - Single Version,2017 Q4,1124861
ZAYN,Still Got Time (feat. PARTYNEXTDOOR),2017 Q4,1121060
Scouting For Girls,She's So Lovely,2017 Q4,1120247
Blackstreet,No Diggity,2017 Q4,1118655
KYLE,iSpy (feat. Lil Yachty),2017 Q4,1110346
Julia Michaels,Issues,2017 Q4,1108239
Bastille,World Gone Mad,2017 Q4,1089537
Bugzy Malone,Memory Lane (feat. Tom Grennan),2017 Q4,1089246
Dua Lipa,IDGAF,2017 Q4,1035880
Krept & Konan,For Me,2017 Q4,1008713
Krept & Konan,Wo Wo Wo,2017 Q4,1007638
G-Eazy,No Limit,2017 Q4,1007608
Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),2017 Q4,998187
A$AP Ferg,Plain Jane,2017 Q4,985129
Taylor Swift,Call It What You Want,2017 Q4,983286
Sam Smith,"Baby, You Make Me Crazy",2017 Q4,966887
Gucci Mane,I Get the Bag (feat. Migos),2017 Q4,965433
Matt Terry,Sucker for You,2017 Q4,957151
TOTO,Africa,2017 Q4,927500
Kendrick Lamar,DNA.,2017 Q4,900754
Phil Spector,Sleigh Ride,2017 Q4,897949
The Darkness,Christmas Time (Don't Let the Bells End),2017 Q4,891196
Sam Smith,Nothing Left For You,2017 Q4,889237
Eminem,'Till I Collapse,2017 Q4,877650
