artist,song_name,quarterly_date,n_streams,genre,Genre_Group
XXXTENTACION,SAD!,2019 Q3,3381831.0,Rock,Rock/Punk/Metal
The Plug,Rich (feat. D Block Europe & Offset),2019 Q3,3357203.0,Grime,Electronic
Avicii,Heaven,2019 Q3,3333979.0,House,Dance/House
Digga D,Mr Sheeen - Digga D x Russ Millions,2019 Q3,3268628.0,Drill,Rap/Hip-Hop
Lewis Capaldi,Hollywood,2019 Q3,3177874.0,Pop,Pop
Ava Max,So Am I,2019 Q3,3157228.0,Pop,Pop
Chris Brown,Don't Check On Me (feat. Justin Bieber & Ink),2019 Q3,3156996.0,R&B,R&B
YNW Melly,Murder On My Mind,2019 Q3,3145595.0,Hip-Hop,Rap/Hip-Hop
Lauv,i'm so tired...,2019 Q3,3113036.0,Pop,Pop
The Killers,Mr. Brightside,2019 Q3,3095225.0,Indie,Indie
Years & Years,If You're Over Me,2019 Q3,2985722.0,Electronic,Electronic
Ashley O,On A Roll,2019 Q3,2970259.0,Pop,Pop
Halsey,Without Me,2019 Q3,2938114.0,Pop,Pop
The Plug,Not Today (feat. Dappy & Tory Lanez),2019 Q3,2929107.0,Grime,Electronic
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),2019 Q3,2898414.0,Pop,Pop
Stormzy,Sounds of the Skeng,2019 Q3,2863517.0,Grime,Electronic
Post Malone,Circles,2019 Q3,2832649.0,Pop,Pop
Dave,Professor X,2019 Q3,2795217.0,Grime,Electronic
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),2019 Q3,2790456.0,Rap,Rap/Hip-Hop
Sigrid,Don’t Feel Like Crying,2019 Q3,2779673.0,Pop,Pop
Lewis Capaldi,when the party's over - Recorded at Spotify Studios NYC,2019 Q3,2757429.0,Pop,Pop
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),2019 Q3,2749189.0,Pop,Pop
Swae Lee,Won't Be Late (feat. Drake),2019 Q3,2747217.0,Dance,Dance/House
Post Malone,Saint-Tropez,2019 Q3,2739940.0,Hip-Hop,Rap/Hip-Hop
Blue Ivy,BROWN SKIN GIRL,2019 Q3,2632718.0,Soundtrack,Soundtrack
"Earth, Wind & Fire",September,2019 Q3,2600481.0,Disco,Disco
Jax Jones,All Day And Night - Jax Jones & Martin Solveig Present Europa,2019 Q3,2589104.0,Dance,Dance/House
Gerry Cinnamon,Belter,2019 Q3,2570453.0,Folk,Folk
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,2019 Q3,2520048.0,Hip-Hop,Rap/Hip-Hop
Post Malone,I Fall Apart,2019 Q3,2503760.0,Hip-Hop,Rap/Hip-Hop
DJ Snake,Loco Contigo (feat. J. Balvin & Tyga),2019 Q3,2500036.0,Electronic,Electronic
Camila Cabello,Liar,2019 Q3,2479018.0,Rap,Rap/Hip-Hop
Lil Nas X,Panini,2019 Q3,2452856.0,Rap,Rap/Hip-Hop
Ed Sheeran,Way To Break My Heart (feat. Skrillex),2019 Q3,2450984.0,Soft Pop,Pop
5 Seconds of Summer,Teeth,2019 Q3,2436151.0,Rock,Rock/Punk/Metal
Lewis Capaldi,Forever,2019 Q3,2428267.0,Pop,Pop
Fleetwood Mac,The Chain - 2004 Remaster,2019 Q3,2425467.0,Rock,Rock/Punk/Metal
Post Malone,Hollywood's Bleeding,2019 Q3,2410552.0,Hip-Hop,Rap/Hip-Hop
Ed Sheeran,BLOW (with Chris Stapleton & Bruno Mars),2019 Q3,2406524.0,Soft Pop,Pop
Lil Nas X,Rodeo,2019 Q3,2402655.0,Rap,Rap/Hip-Hop
Khalid,Right Back (feat. A Boogie Wit Da Hoodie),2019 Q3,2394845.0,R&B,R&B
D-Block Europe,Nookie,2019 Q3,2377035.0,Grime,Electronic
Katy Perry,Small Talk,2019 Q3,2356698.0,Pop,Pop
Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2019 Q3,2301853.0,Punk,Rock/Punk/Metal
Skepta,Greaze Mode,2019 Q3,2229364.0,Grime,Electronic
Jonas Brothers,Only Human,2019 Q3,2224748.0,Rock,Rock/Punk/Metal
Da Beatfreakz,"Motorola (feat. Swarmz, Deno & Dappy)",2019 Q3,2208465.0,Swing,Swing
Taylor Swift,Cruel Summer,2019 Q3,2198930.0,Pop,Pop
Unknown T,Leave Dat Trap,2019 Q3,2184417.0,Drill,Rap/Hip-Hop
Post Malone,Hollywood's Bleeding,2019 Q3,2178202.0,Hip-Hop,Rap/Hip-Hop
"Tyler, The Creator",EARFQUAKE,2019 Q3,2173024.0,R&B,R&B
Lil Tecca,Love Me,2019 Q3,2162553.0,Rap,Rap/Hip-Hop
CamelPhat,Be Someone,2019 Q3,2117838.0,Electronic,Electronic
Blossoms,Your Girlfriend,2019 Q3,2097433.0,Indie,Indie
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),2019 Q3,2072362.0,Rap,Rap/Hip-Hop
Post Malone,Saint-Tropez,2019 Q3,2027933.0,Hip-Hop,Rap/Hip-Hop
Stormzy,Wiley Flow,2019 Q3,2010229.0,Grime,Electronic
P!nk,Walk Me Home,2019 Q3,2001609.0,Pop,Pop
Taylor Swift,I Forgot That You Existed,2019 Q3,1954535.0,Pop,Pop
Taylor Swift,London Boy,2019 Q3,1947279.0,Pop,Pop
OneRepublic,Rescue Me,2019 Q3,1936151.0,Soft Pop,Pop
Post Malone,Circles,2019 Q3,1914549.0,Pop,Pop
Post Malone,Enemies (feat. DaBaby),2019 Q3,1883342.0,Hip-Hop,Rap/Hip-Hop
Lil Tjay,F.N,2019 Q3,1839087.0,Drill,Rap/Hip-Hop
B Young,Gucci Demon,2019 Q3,1813172.0,Swing,Swing
Jess Glynne,I'll Be There,2019 Q3,1806577.0,Pop,Pop
Lil Tecca,Ransom (with Juice WRLD) - Remix,2019 Q3,1794898.0,Rap,Rap/Hip-Hop
Drake,In My Feelings,2019 Q3,1788044.0,Hip-Hop,Rap/Hip-Hop
Taylor Swift,Paper Rings,2019 Q3,1751678.0,Pop,Pop
Post Malone,Die For Me (feat. Future & Halsey),2019 Q3,1734811.0,Rap,Rap/Hip-Hop
Koffee,Toast,2019 Q3,1733173.0,Dance,Dance/House
Deno,Change (feat. DigDat),2019 Q3,1723413.0,Unknown,Unknown
Lil Tecca,Did It Again,2019 Q3,1676073.0,Rap,Rap/Hip-Hop
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,2019 Q3,1662864.0,Hip-Hop,Rap/Hip-Hop
Post Malone,Enemies (feat. DaBaby),2019 Q3,1658281.0,Hip-Hop,Rap/Hip-Hop
Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019 Q3,1615591.0,Edm,Electronic
Mahalia,Simmer (feat. Burna Boy),2019 Q3,1607941.0,Indie,Indie
Lana Del Rey,Norman fucking Rockwell,2019 Q3,1585909.0,Pop,Pop
Taylor Swift,The Archer,2019 Q3,1585011.0,Pop,Pop
Post Malone,Die For Me (feat. Future & Halsey),2019 Q3,1583696.0,Rap,Rap/Hip-Hop
Post Malone,Wow.,2019 Q3,1568245.0,Rap,Rap/Hip-Hop
Headie One,Back to Basics (feat. Skepta),2019 Q3,1548533.0,Drill,Rap/Hip-Hop
Post Malone,A Thousand Bad Times,2019 Q3,1503767.0,Hip-Hop,Rap/Hip-Hop
Lana Del Rey,Doin' Time,2019 Q3,1494031.0,Pop,Pop
Drake,Behind Barz - Bonus,2019 Q3,1493945.0,Rap,Rap/Hip-Hop
MK,Back & Forth,2019 Q3,1462687.0,House,Dance/House
Post Malone,A Thousand Bad Times,2019 Q3,1460962.0,Hip-Hop,Rap/Hip-Hop
Post Malone,On The Road (feat. Meek Mill & Lil Baby),2019 Q3,1451793.0,Hip-Hop,Rap/Hip-Hop
Post Malone,On The Road (feat. Meek Mill & Lil Baby),2019 Q3,1445888.0,Hip-Hop,Rap/Hip-Hop
Freya Ridings,Castles,2019 Q3,1418291.0,Pop,Pop
Skepta,What Do You Mean?,2019 Q3,1380964.0,Grime,Electronic
Kenny Allstar,Friday (feat. DigDat),2019 Q3,1359089.0,Drill,Rap/Hip-Hop
Nicki Minaj,MEGATRON,2019 Q3,1345171.0,Rap,Rap/Hip-Hop
Stefflon Don,Phone Down,2019 Q3,1308176.0,Dance,Dance/House
blackbear,hot girl bummer,2019 Q3,1282759.0,Rap,Rap/Hip-Hop
Post Malone,Allergic,2019 Q3,1279755.0,Hip-Hop,Rap/Hip-Hop
Mahalia,Simmer (feat. Burna Boy),2019 Q3,1272648.0,Indie,Indie
Headie One,Both,2019 Q3,1256383.0,Drill,Rap/Hip-Hop
Billie Eilish,wish you were gay,2019 Q3,1249145.0,Pop,Pop
Post Malone,Wow.,2019 Q3,1245629.0,Rap,Rap/Hip-Hop
Sam Fender,Hypersonic Missiles,2019 Q3,1241055.0,Rock,Rock/Punk/Metal
Taylor Swift,Miss Americana & The Heartbreak Prince,2019 Q3,1228239.0,Pop,Pop
Camila Cabello,Shameless,2019 Q3,1223288.0,Rap,Rap/Hip-Hop
Taylor Swift,I Think He Knows,2019 Q3,1219865.0,Pop,Pop
George Ezra,Pretty Shining People,2019 Q3,1216956.0,Pop,Pop
Post Malone,Staring At The Sun (feat. SZA),2019 Q3,1211200.0,Pop,Pop
JAY1,Mocking It,2019 Q3,1210530.0,Grime,Electronic
Dave,Streatham,2019 Q3,1203620.0,Grime,Electronic
J. Cole,MIDDLE CHILD,2019 Q3,1198005.0,Rap,Rap/Hip-Hop
Lewis Capaldi,Maybe,2019 Q3,1196651.0,Pop,Pop
DJ Snake,Loco Contigo (with J. Balvin & Tyga),2019 Q3,1188240.0,Electronic,Electronic
Sam Fender,Will We Talk?,2019 Q3,1174446.0,Rock,Rock/Punk/Metal
Post Malone,I'm Gonna Be,2019 Q3,1157706.0,Pop,Pop
Lil Tecca,Love Me,2019 Q3,1157160.0,Rap,Rap/Hip-Hop
Taylor Swift,The Archer,2019 Q3,1152862.0,Pop,Pop
Halsey,Graveyard,2019 Q3,1152056.0,Pop,Pop
YG,"Go Loko (feat. Tyga, Jon Z)",2019 Q3,1142310.0,Hip-Hop,Rap/Hip-Hop
The Beatles,Here Comes The Sun - Remastered 2009,2019 Q3,1130624.0,Rock,Rock/Punk/Metal
Taylor Swift,Cornelia Street,2019 Q3,1116645.0,Pop,Pop
Post Malone,Allergic,2019 Q3,1097813.0,Hip-Hop,Rap/Hip-Hop
Sam Fender,The Borders,2019 Q3,1096968.0,Rock,Rock/Punk/Metal
Freya Ridings,Lost Without You,2019 Q3,1093696.0,Indie,Indie
Billie Eilish,ocean eyes,2019 Q3,1082017.0,Pop,Pop
Rick Ross,Gold Roses (feat. Drake),2019 Q3,1081097.0,Hip-Hop,Rap/Hip-Hop
Aitch,Already (feat. Tyreezy),2019 Q3,1077018.0,Grime,Electronic
Post Malone,Staring At The Sun (feat. SZA),2019 Q3,1071407.0,Pop,Pop
Taylor Swift,Lover,2019 Q3,1058214.0,Indie,Indie
NF,Time - Edit,2019 Q3,1056460.0,Hip-Hop,Rap/Hip-Hop
Travis Scott,goosebumps,2019 Q3,1048845.0,Rap,Rap/Hip-Hop
RAYE,Love Me Again,2019 Q3,1046703.0,Pop,Pop
Aitch,Daily Duppy (feat. GRM Daily),2019 Q3,1044467.0,Grime,Electronic
Dynoro,In My Mind,2019 Q3,1034519.0,Electronic,Electronic
Train,"Hey, Soul Sister",2019 Q3,1021526.0,Rock,Rock/Punk/Metal
Taylor Swift,Death By A Thousand Cuts,2019 Q3,1019221.0,Pop,Pop
Fredo,Freddy,2019 Q3,1009207.0,Drill,Rap/Hip-Hop
Arctic Monkeys,Do I Wanna Know?,2019 Q3,1002693.0,Indie,Indie
Post Malone,I'm Gonna Be,2019 Q3,994792.0,Pop,Pop
Beyoncé,MOOD 4 EVA (feat. Oumou Sangaré),2019 Q3,971224.0,Hip-Hop,Rap/Hip-Hop
Aitch,Weekday (feat. Mo$tack & Steel Banglez),2019 Q3,970137.0,Grime,Electronic
Logic,Homicide (feat. Eminem),2019 Q3,955578.0,Rap,Rap/Hip-Hop
Lil Tecca,Ransom (with Juice WRLD) - Remix,2019 Q3,948522.0,Rap,Rap/Hip-Hop
AJ Tracey,Elastic,2019 Q3,896919.0,Grime,Electronic
Post Malone,Myself,2019 Q3,883948.0,Pop,Pop
Nafe Smallz,Good Love (feat. Tory Lanez),2019 Q3,875486.0,Grime,Electronic
K-Trap,Big Mood,2019 Q3,872268.0,Drill,Rap/Hip-Hop
Post Malone,I Know,2019 Q3,866119.0,Hip-Hop,Rap/Hip-Hop
Krept & Konan,I Spy - Remix,2019 Q3,861690.0,Grime,Electronic
Stormzy,Shut Up,2019 Q3,860719.0,Grime,Electronic
Post Malone,Internet,2019 Q3,859050.0,Hip-Hop,Rap/Hip-Hop
Lil Nas X,Old Town Road - Remix,2019 Q3,829990.0,Country,Country
Post Malone,Myself,2019 Q3,826913.0,Pop,Pop
Nafe Smallz,Fake Love (feat. Yxng Bane),2019 Q3,818588.0,Grime,Electronic
Logic,Homicide (feat. Eminem),2019 Q3,797180.0,Rap,Rap/Hip-Hop
Not3s,Wanting,2019 Q3,796678.0,Swing,Swing
Sam Fender,Play God,2019 Q3,792835.0,Rock,Rock/Punk/Metal
T MULLA,Droptop,2019 Q3,787527.0,Swing,Swing
One Acen,Miss Diva (feat. Yungen),2019 Q3,782564.0,Swing,Swing
Tion Wayne,Drive By,2019 Q3,778474.0,Drill,Rap/Hip-Hop
Ed Sheeran,Best Part of Me (feat. YEBBA),2019 Q3,766091.0,Soft Pop,Pop
French Montana,Unforgettable,2019 Q3,762539.0,Hip-Hop,Rap/Hip-Hop
Drake,One Dance,2019 Q3,751174.0,Rap,Rap/Hip-Hop
Billie Eilish,you should see me in a crown,2019 Q3,744787.0,Pop,Pop
Sam Fender,Will We Talk?,2019 Q3,740205.0,Rock,Rock/Punk/Metal
Ed Sheeran,"Take Me Back To London (Sir Spyro Remix) [feat. Stormzy, Jaykae & Aitch]",2019 Q3,738061.0,Soft Pop,Pop
Billie Eilish,i love you,2019 Q3,736428.0,Pop,Pop
The Plug,Not Today (feat. Dappy & Tory Lanez),2019 Q3,730045.0,Grime,Electronic
Travis Scott,BUTTERFLY EFFECT,2019 Q3,728556.0,Rap,Rap/Hip-Hop
SL,100 Thoughts,2019 Q3,705065.0,Drill,Rap/Hip-Hop
JAY1,4AM in Coventry,2019 Q3,695181.0,Grime,Electronic
Ed Sheeran,Castle on the Hill,2019 Q3,689386.0,Pop,Pop
The Kooks,She Moves In Her Own Way,2019 Q3,683950.0,Indie,Indie
Bazzi,I.F.L.Y.,2019 Q3,672079.0,Pop,Pop
Daryl Hall & John Oates,You Make My Dreams (Come True),2019 Q3,669210.0,Rock,Rock/Punk/Metal
Tiësto,God Is A Dancer (with Mabel),2019 Q3,643329.0,Edm,Electronic
The 1975,People,2019 Q3,634902.0,Rock,Rock/Punk/Metal
Aitch,Intro,2019 Q3,632825.0,Grime,Electronic
Aitch,2 G's,2019 Q3,617610.0,Grime,Electronic
Aitch,What's Next,2019 Q3,600453.0,Grime,Electronic
JAY1,Your Mrs,2019 Q3,588582.0,Grime,Electronic
Taylor Swift,Soon You’ll Get Better (feat. The Chicks),2019 Q3,576136.0,Indie,Indie
Taylor Swift,Afterglow,2019 Q3,562753.0,Pop,Pop
Taylor Swift,False God,2019 Q3,561628.0,Pop,Pop
Lana Del Rey,Fuck it I love you,2019 Q3,544981.0,Pop,Pop
Lil Nas X,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,2019 Q3,538252.0,Rap,Rap/Hip-Hop
Ed Sheeran,BLOW (with Chris Stapleton & Bruno Mars),2019 Q3,533774.0,Soft Pop,Pop
Charli XCX,Gone,2019 Q3,500429.0,Pop,Pop
Maroon 5,Memories,2019 Q3,492691.0,Pop,Pop
BROCKHAMPTON,NO HALO,2019 Q3,488421.0,Indie,Indie
Aitch,Aeroplane Mode,2019 Q3,485272.0,Grime,Electronic
Liam Gallagher,One of Us,2019 Q3,483746.0,Rock,Rock/Punk/Metal
Lana Del Rey,Cinnamon Girl,2019 Q3,483188.0,Pop,Pop
Drake,How Bout Now,2019 Q3,481095.0,Rap,Rap/Hip-Hop
Drake,Trust Issues,2019 Q3,473080.0,Rap,Rap/Hip-Hop
Taylor Swift,Daylight,2019 Q3,469071.0,Pop,Pop
Liam Gallagher,Once,2019 Q3,465705.0,Rock,Rock/Punk/Metal
Post Malone,I Know,2019 Q3,465242.0,Hip-Hop,Rap/Hip-Hop
Lana Del Rey,Mariners Apartment Complex,2019 Q3,462696.0,Pop,Pop
Taylor Swift,It’s Nice To Have A Friend,2019 Q3,453680.0,Pop,Pop
Beyoncé,"SPIRIT - From Disney's ""The Lion King""",2019 Q3,447622.0,Pop,Pop
Young Thug,Bad Bad Bad (feat. Lil Baby),2019 Q3,446341.0,Rap,Rap/Hip-Hop
Stormzy,Big For Your Boots,2019 Q3,437166.0,Grime,Electronic
Liam Gallagher,Once,2019 Q3,436984.0,Rock,Rock/Punk/Metal
Lana Del Rey,Love song,2019 Q3,436898.0,Pop,Pop
Post Malone,Internet,2019 Q3,435155.0,Hip-Hop,Rap/Hip-Hop
David Guetta,Thing For You (With Martin Solveig),2019 Q3,435062.0,Edm,Electronic
Sam Fender,Call Me Lover,2019 Q3,434016.0,Rock,Rock/Punk/Metal
Lana Del Rey,Venice Bitch,2019 Q3,432609.0,Pop,Pop
Drake,Dreams Money Can Buy,2019 Q3,432472.0,Rap,Rap/Hip-Hop
Drake,The Motion,2019 Q3,431910.0,Rap,Rap/Hip-Hop
DJ Snake,Loco Contigo,2019 Q3,429846.0,Electronic,Electronic
Sam Fender,Dead Boys,2019 Q3,429793.0,Rock,Rock/Punk/Metal
Kygo,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019 Q3,424840.0,House,Dance/House
Liam Gallagher,Now That I've Found You,2019 Q3,423271.0,Pop,Pop
Stormzy,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",2019 Q3,412194.0,Grime,Electronic
Sam Fender,You're Not The Only One,2019 Q3,402126.0,Indie,Indie
Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2019 Q3,401462.0,Punk,Rock/Punk/Metal
MoStack,Stinking Rich (feat. Dave & J Hus),2019 Q3,398014.0,Grime,Electronic
David Guetta,Stay (Don't Go Away) [feat. Raye],2019 Q3,393762.0,Edm,Electronic
Sam Fender,White Privilege,2019 Q3,393050.0,Rock,Rock/Punk/Metal
The Killers,Human,2019 Q3,389999.0,Indie,Indie
AJ,Bad & Boujie,2019 Q3,388821.0,Unknown,Unknown
Slipknot,Unsainted,2019 Q3,382633.0,Metal,Rock/Punk/Metal
Rick Ross,Gold Roses (feat. Drake),2019 Q3,382029.0,Hip-Hop,Rap/Hip-Hop
Jax Jones,Jacques (with Tove Lo),2019 Q3,380406.0,Electronic,Electronic
Lana Del Rey,California,2019 Q3,378484.0,Pop,Pop
Professor Green,Got It All,2019 Q3,374989.0,Grime,Electronic
NF,When I Grow Up,2019 Q3,373925.0,Hip-Hop,Rap/Hip-Hop
James Arthur,Falling Like The Stars,2019 Q3,372971.0,R&B,R&B
A$AP Rocky,Babushka Boi,2019 Q3,372059.0,Rap,Rap/Hip-Hop
Lana Del Rey,The greatest,2019 Q3,372036.0,Rock,Rock/Punk/Metal
YNW Melly,223's (feat. 9lokknine),2019 Q3,371773.0,Rap,Rap/Hip-Hop
Lana Del Rey,Fuck it I love you,2019 Q3,371197.0,Pop,Pop
Elton John,Tiny Dancer,2019 Q3,368952.0,Pop,Pop
Rex Orange County,10/10,2019 Q3,366475.0,Pop,Pop
Lil Nas X,C7osure (You Like),2019 Q3,364465.0,Pop,Pop
Lana Del Rey,How to disappear,2019 Q3,361894.0,Pop,Pop
Drake,4pm in Calabasas,2019 Q3,361166.0,Rap,Rap/Hip-Hop
Blanco Brown,The Git Up,2019 Q3,358645.0,Country,Country
benny blanco,Graduation (with Juice WRLD),2019 Q3,358271.0,Pop,Pop
Slipknot,Nero Forte,2019 Q3,355854.0,Metal,Rock/Punk/Metal
Sam Fender,That Sound,2019 Q3,353987.0,Rock,Rock/Punk/Metal
BROCKHAMPTON,SUGAR,2019 Q3,350977.0,Hip-Hop,Rap/Hip-Hop
Kano,Teardrops,2019 Q3,349767.0,Grime,Electronic
FISHER,You Little Beauty,2019 Q3,346996.0,House,Dance/House
Ariana Grande,no tears left to cry,2019 Q3,342926.0,Pop,Pop
Liam Gallagher,Shockwave,2019 Q3,342722.0,Pop,Pop
Jason Mraz,I'm Yours,2019 Q3,342128.0,Acoustic,Acoustic
Headie One,Hard To Believe,2019 Q3,339038.0,Drill,Rap/Hip-Hop
Bombay Bicycle Club,"Eat, Sleep, Wake (Nothing But You) - Single Version",2019 Q3,338471.0,Rock,Rock/Punk/Metal
Queen,Another One Bites The Dust - Remastered 2011,2019 Q3,334701.0,Rock,Rock/Punk/Metal
Sam Fender,The Borders,2019 Q3,334131.0,Rock,Rock/Punk/Metal
Gerry Cinnamon,Sometimes,2019 Q3,331816.0,Rock,Rock/Punk/Metal
Scouting For Girls,She's So Lovely,2019 Q3,330834.0,Pop,Pop
WALK THE MOON,Shut Up and Dance,2019 Q3,329340.0,Rock,Rock/Punk/Metal
Tones And I,Dance Monkey,2019 Q4,50389070.0,Dance,Dance/House
Regard,Ride It,2019 Q4,28166164.0,Electronic,Electronic
Post Malone,Circles,2019 Q4,24807522.0,Pop,Pop
Lewis Capaldi,Someone You Loved,2019 Q4,24198182.0,Pop,Pop
Dua Lipa,Don't Start Now,2019 Q4,21341707.0,Pop,Pop
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),2019 Q4,19970928.0,Soft Pop,Pop
Travis Scott,HIGHEST IN THE ROOM,2019 Q4,19651411.0,Rap,Rap/Hip-Hop
AJ Tracey,Ladbroke Grove,2019 Q4,19222684.0,Grime,Electronic
Aitch,Taste (Make It Shake),2019 Q4,19143678.0,Grime,Electronic
Mariah Carey,All I Want for Christmas Is You,2019 Q4,18436215.0,R&B,R&B
Young T & Bugsey,Strike a Pose (feat. Aitch),2019 Q4,18265920.0,Rap,Rap/Hip-Hop
blackbear,hot girl bummer,2019 Q4,17789231.0,Rap,Rap/Hip-Hop
Joel Corry,Sorry,2019 Q4,17744742.0,Dance,Dance/House
Dave,Professor X,2019 Q4,17530769.0,Grime,Electronic
Wham!,Last Christmas,2019 Q4,17190474.0,Pop,Pop
Lewis Capaldi,Bruises,2019 Q4,17168110.0,Pop,Pop
Maroon 5,Memories,2019 Q4,16946544.0,Pop,Pop
Aitch,Buss Down (feat. ZieZie),2019 Q4,16134217.0,Grime,Electronic
Dominic Fike,3 Nights,2019 Q4,16037579.0,Hip-Hop,Rap/Hip-Hop
MEDUZA,Lose Control,2019 Q4,15989326.0,House,Dance/House
Ed Sheeran,Beautiful People (feat. Khalid),2019 Q4,15326433.0,Soft Pop,Pop
Kygo,Higher Love,2019 Q4,15122927.0,House,Dance/House
Shawn Mendes,Señorita,2019 Q4,15113775.0,Latin,Latin
Arizona Zervas,ROXANNE,2019 Q4,14958847.0,Rap,Rap/Hip-Hop
Riton,Turn Me On (feat. Vula),2019 Q4,14721852.0,House,Dance/House
Selena Gomez,Lose You To Love Me,2019 Q4,14234999.0,Pop,Pop
Lewis Capaldi,Before You Go,2019 Q4,14183325.0,Pop,Pop
Dave,Location (feat. Burna Boy),2019 Q4,14049664.0,Grime,Electronic
Dermot Kennedy,Outnumbered,2019 Q4,13752153.0,Folk,Folk
Ed Sheeran,Take Me Back to London (feat. Stormzy),2019 Q4,13611617.0,Soft Pop,Pop
Billie Eilish,bad guy,2019 Q4,13446466.0,Pop,Pop
Sam Smith,How Do You Sleep?,2019 Q4,13415839.0,Soul,Soul
Ed Sheeran,I Don't Care (with Justin Bieber),2019 Q4,12889087.0,Soft Pop,Pop
Sam Feldt,Post Malone (feat. RANI),2019 Q4,12714605.0,House,Dance/House
Billie Eilish,everything i wanted,2019 Q4,12660604.0,Pop,Pop
Headie One,Both,2019 Q4,12624285.0,Drill,Rap/Hip-Hop
Lil Tecca,Ransom,2019 Q4,12545818.0,Rap,Rap/Hip-Hop
Jorja Smith,Be Honest,2019 Q4,12212471.0,Soul,Soul
Brenda Lee,Rockin' Around The Christmas Tree,2019 Q4,11303632.0,Pop,Pop
Michael Bublé,It's Beginning to Look a Lot like Christmas,2019 Q4,11131635.0,Swing,Swing
Lewis Capaldi,Hold Me While You Wait,2019 Q4,11110253.0,Pop,Pop
Fredo,So High (feat. Fredo),2019 Q4,11096992.0,Drill,Rap/Hip-Hop
Tiësto,God Is A Dancer (with Mabel),2019 Q4,11066831.0,Edm,Electronic
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,2019 Q4,10895034.0,Hip-Hop,Rap/Hip-Hop
The Pogues,Fairytale of New York (feat. Kirsty MacColl),2019 Q4,10688162.0,Rock,Rock/Punk/Metal
Camila Cabello,Liar,2019 Q4,10563003.0,Rap,Rap/Hip-Hop
Ariana Grande,Santa Tell Me,2019 Q4,10557674.0,Pop,Pop
Niall Horan,Nice To Meet Ya,2019 Q4,10522915.0,Pop,Pop
Jax Jones,This Is Real (ft. Ella Henderson),2019 Q4,10476284.0,Dance,Dance/House
Harry Styles,Lights Up,2019 Q4,10310927.0,Pop,Pop
Band Aid,Do They Know It's Christmas? - 1984 Version,2019 Q4,10292660.0,Christmas,Christmas
Stormzy,Vossi Bop,2019 Q4,10113967.0,Hip-Hop,Rap/Hip-Hop
KSI,"Down Like That (feat. Rick Ross, Lil Baby & S-X)",2019 Q4,9718536.0,Hip-Hop,Rap/Hip-Hop
Post Malone,Goodbyes (Feat. Young Thug),2019 Q4,9473564.0,Hip-Hop,Rap/Hip-Hop
Lizzo,Truth Hurts,2019 Q4,9179061.0,Hip-Hop,Rap/Hip-Hop
Lil Nas X,Panini,2019 Q4,9129569.0,Rap,Rap/Hip-Hop
Juice WRLD,Bandit (with YoungBoy Never Broke Again),2019 Q4,9091526.0,Rap,Rap/Hip-Hop
Endor,Pump It Up,2019 Q4,9002549.0,Soundtrack,Soundtrack
MEDUZA,Piece Of Your Heart,2019 Q4,8965686.0,House,Dance/House
Y2K,Lalala,2019 Q4,8881462.0,Hip-Hop,Rap/Hip-Hop
J Hus,Must Be,2019 Q4,8732207.0,Grime,Electronic
Russ Millions,Keisha & Becky - Remix,2019 Q4,8658948.0,Drill,Rap/Hip-Hop
Kanye West,Follow God,2019 Q4,8602074.0,Hip-Hop,Rap/Hip-Hop
Lizzo,Good as Hell (feat. Ariana Grande) - Remix,2019 Q4,8522444.0,Pop,Pop
Stormzy,Own It (feat. Ed Sheeran & Burna Boy),2019 Q4,8446876.0,Grime,Electronic
Juice WRLD,Lucid Dreams,2019 Q4,8394569.0,Rap,Rap/Hip-Hop
Dan + Shay,"10,000 Hours (with Justin Bieber)",2019 Q4,8363446.0,Country,Country
Shakin' Stevens,Merry Christmas Everyone,2019 Q4,8295337.0,Rock,Rock/Punk/Metal
Chris Brown,No Guidance (feat. Drake),2019 Q4,8239023.0,R&B,R&B
Fredo,Netflix & Chill,2019 Q4,8225108.0,Drill,Rap/Hip-Hop
Dave,Thiago Silva,2019 Q4,8084283.0,Grime,Electronic
Poundz,Opp Thot,2019 Q4,7995725.0,Drill,Rap/Hip-Hop
The Killers,Mr. Brightside,2019 Q4,7943658.0,Indie,Indie
Bobby Helms,Jingle Bell Rock,2019 Q4,7903624.0,Christmas,Christmas
Chris Rea,Driving Home for Christmas - 2019 Remaster,2019 Q4,7849936.0,Christmas,Christmas
Elton John,Step Into Christmas,2019 Q4,7789442.0,Pop,Pop
Lil Nas X,Old Town Road - Remix,2019 Q4,7697716.0,Country,Country
