artist,song_name,quarterly_date,n_streams,genre,Genre_Group
Frank Sinatra,Have Yourself A Merry Little Christmas - Remastered,2016 Q4,373022.0,Christmas,Christmas
Coldplay,Everglow,2016 Q4,372437.0,Rock,Rock/Punk/Metal
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),2016 Q4,369370.0,Pop,Pop
Céline Dion,Happy Xmas (War Is Over),2016 Q4,368500.0,Pop,Pop
The Weeknd,Rockin’,2016 Q4,367593.0,Dance,Dance/House
Michael Bublé,Have Yourself a Merry Little Christmas,2016 Q4,364157.0,Swing,Swing
Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,2016 Q4,363539.0,Edm,Electronic
Childish Gambino,Redbone,2016 Q4,363068.0,Soul,Soul
George Michael,Freedom! '90,2016 Q4,362459.0,Pop,Pop
Ella Fitzgerald,Baby It's Cold Outside,2016 Q4,361910.0,Jazz,Jazz
Migos,Bad and Boujee (feat. Lil Uzi Vert),2016 Q4,359750.0,Rap,Rap/Hip-Hop
Alessia Cara,Scars To Your Beautiful,2016 Q4,358311.0,Pop,Pop
Naughty Boy,Should've Been Me,2016 Q4,356626.0,Unknown,Unknown
Giggs,Lock Doh,2016 Q4,355519.0,Grime,Electronic
Wham!,Wake Me Up Before You Go-Go,2016 Q4,355225.0,Pop,Pop
Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),2016 Q4,354500.0,Unknown,Unknown
Zara Larsson,Ain't My Fault,2016 Q4,353076.0,R&B,R&B
Sia,Cheap Thrills,2016 Q4,350864.0,Pop,Pop
Chris de Burgh,A Spaceman Came Travelling,2016 Q4,347705.0,Rock,Rock/Punk/Metal
Noah Cyrus,Make Me (Cry),2016 Q4,347396.0,Pop,Pop
James Hersey,Miss You,2016 Q4,346639.0,House,Dance/House
Phil Spector,Here Comes Santa Claus,2016 Q4,345184.0,Rock,Rock/Punk/Metal
Michael Jackson,Rockin' Robin,2016 Q4,340022.0,Pop,Pop
Ariana Grande,Into You,2016 Q4,339475.0,Pop,Pop
Twenty One Pilots,Stressed Out,2016 Q4,339049.0,Rock,Rock/Punk/Metal
Shawn Mendes,Stitches,2016 Q4,333268.0,Pop,Pop
Tony Bennett,Winter Wonderland,2016 Q4,332966.0,Jazz,Jazz
Rihanna,Work,2016 Q4,332800.0,Pop,Pop
The Waitresses,Christmas Wrapping,2016 Q4,331449.0,Christmas,Christmas
Michael Bublé,Santa Baby,2016 Q4,331395.0,Swing,Swing
gnash,"i hate u, i love u (feat. olivia o'brien)",2016 Q4,329348.0,Unknown,Unknown
Shelley FKA DRAM,Broccoli (feat. Lil Yachty),2016 Q4,329253.0,Unknown,Unknown
Fifth Harmony,That's My Girl,2016 Q4,329236.0,Pop,Pop
Nat King Cole,Deck The Halls,2016 Q4,326279.0,Christmas,Christmas
Anne-Marie,Alarm,2016 Q4,325173.0,Pop,Pop
DNCE,Cake By The Ocean,2016 Q4,325055.0,Pop,Pop
Zay Hilfigerrr,Juju on That Beat (TZ Anthem),2016 Q4,323479.0,Unknown,Unknown
Britney Spears,My Only Wish (This Year),2016 Q4,321640.0,Pop,Pop
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),2016 Q4,320920.0,Soft Pop,Pop
Zara Larsson,Lush Life,2016 Q4,320375.0,R&B,R&B
Adele,Hello,2016 Q4,317691.0,Soul,Soul
John Gibbons,Would I Lie to You,2016 Q4,315339.0,Unknown,Unknown
The Weeknd,Sidewalks,2016 Q4,315291.0,R&B,R&B
Glee Cast,"Baby, It's Cold Outside (feat. Darren Criss)",2016 Q4,314895.0,Christmas,Christmas
Dido,Christmas Day,2016 Q4,310194.0,Christmas,Christmas
Stevie Wonder,What Christmas Means To Me,2016 Q4,310126.0,Soul,Soul
Desiigner,Panda,2016 Q4,308421.0,Unknown,Unknown
Rihanna,Needed Me,2016 Q4,307179.0,R&B,R&B
Justin Bieber,What Do You Mean?,2016 Q4,305576.0,Pop,Pop
The Jackson 5,I Saw Mommy Kissing Santa Claus,2016 Q4,300627.0,Soul,Soul
Coldplay,Adventure of a Lifetime,2016 Q4,299093.0,Rock,Rock/Punk/Metal
Adele,Send My Love (To Your New Lover),2016 Q4,297447.0,Soul,Soul
Luther Vandross,Please Come Home for Christmas,2016 Q4,296336.0,R&B,R&B
Run–D.M.C.,Christmas In Hollis,2016 Q4,295431.0,Hip-Hop,Rap/Hip-Hop
Tinie Tempah,Girls Like (feat. Zara Larsson),2016 Q4,291926.0,Grime,Electronic
Twenty One Pilots,Ride,2016 Q4,291336.0,Rock,Rock/Punk/Metal
The Darkness,Christmas Time (Don't Let the Bells End),2016 Q4,289026.0,Rock,Rock/Punk/Metal
The Weeknd,Six Feet Under,2016 Q4,286711.0,R&B,R&B
Jonas Blue,Fast Car,2016 Q4,285229.0,House,Dance/House
Sia,Cheap Thrills (feat. Sean Paul),2016 Q4,283594.0,Christmas,Christmas
Michael Bublé,Silent Night,2016 Q4,282167.0,Swing,Swing
John Denver,Rudolph the Red Nosed Reindeer,2016 Q4,281777.0,Folk,Folk
R. Kelly,Ignition - Remix,2016 Q4,278542.0,R&B,R&B
M.O,Not In Love,2016 Q4,276806.0,Hip-Hop,Rap/Hip-Hop
Wham!,Club Tropicana,2016 Q4,275478.0,Pop,Pop
Andy Grammer,Fresh Eyes,2016 Q4,274156.0,Pop,Pop
Donny Hathaway,This Christmas,2016 Q4,273623.0,Soul,Soul
Lou Monte,Dominick the Donkey - The Italian Christmas Donkey,2016 Q4,272603.0,Christmas,Christmas
Alan Walker,Faded,2016 Q4,271743.0,Edm,Electronic
The Weeknd,Reminder,2016 Q4,271226.0,R&B,R&B
Ed Sheeran,Shape of You,2017 Q1,71700574.0,Pop,Pop
Ed Sheeran,Castle on the Hill,2017 Q1,51131302.0,Pop,Pop
Jax Jones,You Don't Know Me - Radio Edit,2017 Q1,30158733.0,Dance,Dance/House
Little Mix,Touch,2017 Q1,25755813.0,Pop,Pop
The Chainsmokers,Paris,2017 Q1,25264318.0,House,Dance/House
Ed Sheeran,Galway Girl,2017 Q1,23981573.0,Pop,Pop
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2017 Q1,23891074.0,Pop,Pop
Rag'n'Bone Man,Human,2017 Q1,22843692.0,Hip-Hop,Rap/Hip-Hop
Starley,Call On Me - Ryan Riback Extended Remix,2017 Q1,22477008.0,Electronic,Electronic
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2017 Q1,21900433.0,Pop,Pop
JP Cooper,September Song,2017 Q1,21433265.0,Pop,Pop
Zara Larsson,I Would Like,2017 Q1,19702032.0,R&B,R&B
James Arthur,Say You Won't Let Go,2017 Q1,19138112.0,R&B,R&B
Steve Aoki,Just Hold On,2017 Q1,17295389.0,House,Dance/House
The Weeknd,Starboy,2017 Q1,16986400.0,R&B,R&B
The Weeknd,I Feel It Coming,2017 Q1,16953639.0,R&B,R&B
Stormzy,Big For Your Boots,2017 Q1,16903459.0,Grime,Electronic
The Vamps,All Night,2017 Q1,15559300.0,Pop,Pop
NEIKED,Sexual,2017 Q1,15399602.0,Pop,Pop
Drake,Fake Love,2017 Q1,15322744.0,Rap,Rap/Hip-Hop
The Chainsmokers,Closer,2017 Q1,15108018.0,House,Dance/House
Martin Garrix,Scared to Be Lonely,2017 Q1,15023916.0,Electronic,Electronic
Sean Paul,No Lie,2017 Q1,14285198.0,Reggae,Reggae
Ed Sheeran,New Man,2017 Q1,14264656.0,Soft Pop,Pop
Ed Sheeran,How Would You Feel (Paean),2017 Q1,13799608.0,Soft Pop,Pop
Maroon 5,Don't Wanna Know,2017 Q1,13760300.0,Rock,Rock/Punk/Metal
Martin Jensen,Solo Dance,2017 Q1,13739205.0,Dance,Dance/House
The Chainsmokers,Something Just Like This,2017 Q1,13292131.0,House,Dance/House
Drake,One Dance,2017 Q1,13171424.0,Rap,Rap/Hip-Hop
