year_quarter,genre,Genre_Group,streams,gdp_(£m),inflation_(%),hfce_(£m),unemployment_rate_(%)
2016 Q4,Pop,Pop,374932.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soul,Soul,374638.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,373022.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,372437.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,369370.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,368500.0,589476.0,1.5,369850.0,4.7
2016 Q4,Dance,Dance/House,367593.0,589476.0,1.5,369850.0,4.7
2016 Q4,Swing,Swing,364157.0,589476.0,1.5,369850.0,4.7
2016 Q4,Edm,Electronic,363539.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soul,Soul,363068.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,362459.0,589476.0,1.5,369850.0,4.7
2016 Q4,Jazz,Jazz,361910.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rap,Rap/Hip-Hop,359750.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,358311.0,589476.0,1.5,369850.0,4.7
2016 Q4,Unknown,Unknown,356626.0,589476.0,1.5,369850.0,4.7
2016 Q4,Grime,Electronic,355519.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,355225.0,589476.0,1.5,369850.0,4.7
2016 Q4,Unknown,Unknown,354500.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,353076.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,350864.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,347705.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,347396.0,589476.0,1.5,369850.0,4.7
2016 Q4,House,Dance/House,346639.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,345184.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,340022.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,339475.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,339049.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,333268.0,589476.0,1.5,369850.0,4.7
2016 Q4,Jazz,Jazz,332966.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,332800.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,331449.0,589476.0,1.5,369850.0,4.7
2016 Q4,Swing,Swing,331395.0,589476.0,1.5,369850.0,4.7
2016 Q4,Unknown,Unknown,329348.0,589476.0,1.5,369850.0,4.7
2016 Q4,Unknown,Unknown,329253.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,329236.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,326279.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,325173.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,325055.0,589476.0,1.5,369850.0,4.7
2016 Q4,Unknown,Unknown,323479.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,321640.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soft Pop,Pop,320920.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,320375.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soul,Soul,317691.0,589476.0,1.5,369850.0,4.7
2016 Q4,Unknown,Unknown,315339.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,315291.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,314895.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,310194.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soul,Soul,310126.0,589476.0,1.5,369850.0,4.7
2016 Q4,Unknown,Unknown,308421.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,307179.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,305576.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soul,Soul,300627.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,299093.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soul,Soul,297447.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,296336.0,589476.0,1.5,369850.0,4.7
2016 Q4,Hip-Hop,Rap/Hip-Hop,295431.0,589476.0,1.5,369850.0,4.7
2016 Q4,Grime,Electronic,291926.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,291336.0,589476.0,1.5,369850.0,4.7
2016 Q4,Rock,Rock/Punk/Metal,289026.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,286711.0,589476.0,1.5,369850.0,4.7
2016 Q4,House,Dance/House,285229.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,283594.0,589476.0,1.5,369850.0,4.7
2016 Q4,Swing,Swing,282167.0,589476.0,1.5,369850.0,4.7
2016 Q4,Folk,Folk,281777.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,278542.0,589476.0,1.5,369850.0,4.7
2016 Q4,Hip-Hop,Rap/Hip-Hop,276806.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,275478.0,589476.0,1.5,369850.0,4.7
2016 Q4,Pop,Pop,274156.0,589476.0,1.5,369850.0,4.7
2016 Q4,Soul,Soul,273623.0,589476.0,1.5,369850.0,4.7
2016 Q4,Christmas,Christmas,272603.0,589476.0,1.5,369850.0,4.7
2016 Q4,Edm,Electronic,271743.0,589476.0,1.5,369850.0,4.7
2016 Q4,R&B,R&B,271226.0,589476.0,1.5,369850.0,4.7
2017 Q1,Pop,Pop,71700574.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,51131302.0,594423.0,2.2,372376.0,4.6
2017 Q1,Dance,Dance/House,30158733.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,25755813.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,25264318.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,23981573.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,23891074.0,594423.0,2.2,372376.0,4.6
2017 Q1,Hip-Hop,Rap/Hip-Hop,22843692.0,594423.0,2.2,372376.0,4.6
2017 Q1,Electronic,Electronic,22477008.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,21900433.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,21433265.0,594423.0,2.2,372376.0,4.6
2017 Q1,R&B,R&B,19702032.0,594423.0,2.2,372376.0,4.6
2017 Q1,R&B,R&B,19138112.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,17295389.0,594423.0,2.2,372376.0,4.6
2017 Q1,R&B,R&B,16986400.0,594423.0,2.2,372376.0,4.6
2017 Q1,R&B,R&B,16953639.0,594423.0,2.2,372376.0,4.6
2017 Q1,Grime,Electronic,16903459.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,15559300.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,15399602.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rap,Rap/Hip-Hop,15322744.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,15108018.0,594423.0,2.2,372376.0,4.6
2017 Q1,Electronic,Electronic,15023916.0,594423.0,2.2,372376.0,4.6
2017 Q1,Reggae,Reggae,14285198.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,14264656.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,13799608.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rock,Rock/Punk/Metal,13760300.0,594423.0,2.2,372376.0,4.6
2017 Q1,Dance,Dance/House,13739205.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,13292131.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rap,Rap/Hip-Hop,13171424.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,13058411.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,13025309.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,13004901.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,12916138.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,12568437.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,12477248.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,12404194.0,594423.0,2.2,372376.0,4.6
2017 Q1,Hip-Hop,Rap/Hip-Hop,12305077.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,12221361.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,12146039.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,12083809.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,12078971.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rap,Rap/Hip-Hop,11890988.0,594423.0,2.2,372376.0,4.6
2017 Q1,Edm,Electronic,11777203.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,11577380.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,11506710.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soundtrack,Soundtrack,11466494.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,11445592.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,11418380.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,11003869.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,10707295.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,10504655.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,10321057.0,594423.0,2.2,372376.0,4.6
2017 Q1,Indie,Indie,10092625.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,9996073.0,594423.0,2.2,372376.0,4.6
2017 Q1,Hip-Hop,Rap/Hip-Hop,9930675.0,594423.0,2.2,372376.0,4.6
2017 Q1,Grime,Electronic,9649311.0,594423.0,2.2,372376.0,4.6
2017 Q1,Edm,Electronic,9463552.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,9416565.0,594423.0,2.2,372376.0,4.6
2017 Q1,R&B,R&B,9301749.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,9064051.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,8874522.0,594423.0,2.2,372376.0,4.6
2017 Q1,Electronic,Electronic,8808352.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,8795190.0,594423.0,2.2,372376.0,4.6
2017 Q1,Edm,Electronic,8775836.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,8640667.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,8281304.0,594423.0,2.2,372376.0,4.6
2017 Q1,Hip-Hop,Rap/Hip-Hop,8209127.0,594423.0,2.2,372376.0,4.6
2017 Q1,Electronic,Electronic,8142134.0,594423.0,2.2,372376.0,4.6
2017 Q1,Electronic,Electronic,8142048.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,7989374.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,7875223.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,7813232.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,7751494.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,7691304.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rap,Rap/Hip-Hop,7493337.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,7351249.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,7162125.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,6997717.0,594423.0,2.2,372376.0,4.6
2017 Q1,Indie,Indie,6989052.0,594423.0,2.2,372376.0,4.6
2017 Q1,Edm,Electronic,6983383.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rock,Rock/Punk/Metal,6867633.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rap,Rap/Hip-Hop,6667861.0,594423.0,2.2,372376.0,4.6
2017 Q1,Indie,Indie,6649526.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,6598501.0,594423.0,2.2,372376.0,4.6
2017 Q1,Electronic,Electronic,6365319.0,594423.0,2.2,372376.0,4.6
2017 Q1,Electronic,Electronic,6224416.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rap,Rap/Hip-Hop,6136589.0,594423.0,2.2,372376.0,4.6
2017 Q1,Unknown,Unknown,6043688.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,5900947.0,594423.0,2.2,372376.0,4.6
2017 Q1,Electronic,Electronic,5892798.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,5647414.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rock,Rock/Punk/Metal,5570456.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soul,Soul,5562796.0,594423.0,2.2,372376.0,4.6
2017 Q1,Grime,Electronic,5468130.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,5336755.0,594423.0,2.2,372376.0,4.6
2017 Q1,Indie,Indie,5323740.0,594423.0,2.2,372376.0,4.6
2017 Q1,Hip-Hop,Rap/Hip-Hop,5133266.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,5118650.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,5084107.0,594423.0,2.2,372376.0,4.6
2017 Q1,Edm,Electronic,5049772.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,5042671.0,594423.0,2.2,372376.0,4.6
2017 Q1,R&B,R&B,4987741.0,594423.0,2.2,372376.0,4.6
2017 Q1,Indie,Indie,4959945.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,4896731.0,594423.0,2.2,372376.0,4.6
2017 Q1,R&B,R&B,4835246.0,594423.0,2.2,372376.0,4.6
2017 Q1,Unknown,Unknown,4805817.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rap,Rap/Hip-Hop,4779094.0,594423.0,2.2,372376.0,4.6
2017 Q1,Grime,Electronic,4770115.0,594423.0,2.2,372376.0,4.6
2017 Q1,R&B,R&B,4723650.0,594423.0,2.2,372376.0,4.6
2017 Q1,Hip-Hop,Rap/Hip-Hop,4708135.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,4697822.0,594423.0,2.2,372376.0,4.6
2017 Q1,Grime,Electronic,4658443.0,594423.0,2.2,372376.0,4.6
2017 Q1,Indie,Indie,4604524.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,4601002.0,594423.0,2.2,372376.0,4.6
2017 Q1,Soft Pop,Pop,4565823.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,4404566.0,594423.0,2.2,372376.0,4.6
2017 Q1,House,Dance/House,4378676.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,4372752.0,594423.0,2.2,372376.0,4.6
2017 Q1,Rock,Rock/Punk/Metal,4360230.0,594423.0,2.2,372376.0,4.6
2017 Q1,Pop,Pop,4346495.0,594423.0,2.2,372376.0,4.6
2017 Q1,Dance,Dance/House,4339949.0,594423.0,2.2,372376.0,4.6
2017 Q1,Edm,Electronic,4337053.0,594423.0,2.2,372376.0,4.6
