,Song ID,Spotify URI,Song Title,Performer,Region,Quarter,Quarterly Streams,Best Quarterly Position,Peak Position,Worst Position,Time On Chart,Consecutive Weeks,Instance,Previous Week,Chart URL
7751,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)Lil Wayne",4dASQiO1Eoo3RJvt74FtXB,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,gb,2017 Q1,3793268,88,88,192,13,12.0,1.0,125.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
2027,Do I Wanna Know?Arctic Monkeys,3rq5w4bQGigXOfdN30ATJt,Do I Wanna Know?,Arctic Monkeys,gb,2017 Q1,3789449,128,128,182,13,12.0,1.0,138.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
2900,Get It TogetherDrake,7y6c07pgjZvtHI9kuMVqk1,Get It Together,Drake,gb,2017 Q1,3789325,15,15,19,2,1.0,1.0,15.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
9160,Wonderwall - RemasteredOasis,5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,Oasis,gb,2017 Q1,3726180,110,110,185,13,12.0,1.0,142.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
6005,PILLOWTALKZAYN,0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,ZAYN,gb,2017 Q1,3708009,73,73,199,13,12.0,1.0,73.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
6268,PortlandDrake,2bjwRfXMk4uRgOD9IBYl9h,Portland,Drake,gb,2017 Q1,3637460,17,17,23,2,1.0,1.0,17.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
9607,iSpy (feat. Lil Yachty)KYLE,2EEeOnHehOozLq4aS0n6SL,iSpy (feat. Lil Yachty),KYLE,gb,2017 Q1,3635476,60,60,145,7,6.0,1.0,145.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-16
5603,No Long TalkDrake,6CfrYuD3YRDYdYvH9jNtXY,No Long Talk,Drake,gb,2017 Q1,3577095,13,13,33,2,1.0,1.0,13.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
6383,Pumped Up KicksFoster The People,7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,Foster The People,gb,2017 Q1,3563254,100,100,181,12,10.0,1.0,169.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
8848,We Don't Talk Anymore (feat. Selena Gomez)Charlie Puth,68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,gb,2017 Q1,3559143,98,98,198,13,12.0,1.0,169.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
1312,Cake By The OceanDNCE,2aFiaMXmWsM3Vj72F9ksBl,Cake By The Ocean,DNCE,gb,2017 Q1,3536530,83,83,197,13,8.0,1.0,166.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
9191,WorkRihanna,14WWzenpaEgQZlqPq2nk4v,Work,Rihanna,gb,2017 Q1,3527509,77,77,178,12,11.0,1.0,158.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
4970,Madiba RiddimDrake,76gUmNLXGQVOsGhfcshkFP,Madiba Riddim,Drake,gb,2017 Q1,3455865,22,22,29,2,1.0,1.0,22.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
7855,Swalla (feat. Nicki Minaj & Ty Dolla $ign)Jason Derulo,6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,gb,2017 Q1,3428477,52,52,96,5,4.0,1.0,83.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-02
3166,GyalchesterDrake,6UjfByV1lDLW0SOVQA4NAi,Gyalchester,Drake,gb,2017 Q1,3423759,20,20,31,2,1.0,1.0,20.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
3386,HelloAdele,4sPmO7WMQUAf45kwMOtONw,Hello,Adele,gb,2017 Q1,3338863,92,92,191,12,11.0,1.0,171.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
5770,Oh LordMiC LOWRY,1sTUEdVO85YU8Ymk2jeAls,Oh Lord,MiC LOWRY,gb,2017 Q1,3320023,54,54,99,8,7.0,1.0,86.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
5295,Mr SkengStormzy,3DrMEiTE3yu3yyc6xBDEDz,Mr Skeng,Stormzy,gb,2017 Q1,3308472,25,25,148,5,4.0,1.0,25.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-02
1028,"Blinded By Your Grace, Pt. 2 (feat. MNEK)Stormzy",0ihguwGVwKihJ1Nj8fGQlY,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",Stormzy,gb,2017 Q1,3246113,51,51,107,5,4.0,1.0,51.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-02
8773,Wanna Know Remix (feat. Drake)Dave,7bPLo5Fv7h15E2fW3g1mVQ,Wanna Know Remix (feat. Drake),Dave,gb,2017 Q1,3243870,102,102,177,11,10.0,1.0,147.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
4872,LoveLana Del Rey,0n2bvWvMwr0gbjcuTm92eW,Love,Lana Del Rey,gb,2017 Q1,3235624,55,55,103,6,5.0,1.0,73.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-23
7953,Take Me To ChurchHozier,0IqKeD8ZSP72KbGYyzEcAs,Take Me To Church,Hozier,gb,2017 Q1,3234351,98,98,185,12,11.0,1.0,181.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
7376,Skepta InterludeDrake,2dfqS3MRtbLZSZA1IL8xY5,Skepta Interlude,Drake,gb,2017 Q1,3188005,25,25,38,2,1.0,1.0,25.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
693,Bad Boys (feat. Ghetts and J Hus)Stormzy,48jPP29QyeTorwlkflGast,Bad Boys (feat. Ghetts and J Hus),Stormzy,gb,2017 Q1,3155283,24,24,176,5,4.0,1.0,24.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-02
8021,Teenage FeverDrake,6n3HGiq4v35D6eFOSwqYuo,Teenage Fever,Drake,gb,2017 Q1,3043219,32,32,37,2,1.0,1.0,32.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
144,4422Drake,2fkeWbM6iqTw7oGHTYm2lw,4422,Drake,gb,2017 Q1,3035199,28,28,40,2,1.0,1.0,28.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
1947,Despacito (Featuring Daddy Yankee)Luis Fonsi,4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),Luis Fonsi,gb,2017 Q1,3026950,106,106,175,9,8.0,1.0,175.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-02
2768,Free SmokeDrake,05KOgYg8PGeJyyWBPi5ja8,Free Smoke,Drake,gb,2017 Q1,3022252,27,27,45,2,1.0,1.0,27.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
5809,On HoldThe xx,5CPqOpKSk0QcJ3dGdaWcRB,On Hold,The xx,gb,2017 Q1,2971788,41,41,139,6,5.0,1.0,120.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
6069,Party (feat. Usher & Gucci Mane)Chris Brown,05Z7jet4VDNVgNQWcYHnrk,Party (feat. Usher & Gucci Mane),Chris Brown,gb,2017 Q1,2963840,116,116,196,10,8.0,1.0,145.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
267,Addison Lee (Peng Ting Called Maddison)Not3s,61AaiTZFfwruCncZ7m7CIg,Addison Lee (Peng Ting Called Maddison),Not3s,gb,2017 Q1,2942430,114,114,200,10,9.0,1.0,164.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-26
1971,Did You SeeJ Hus,6DXEZzM4wBa3EOl0NCNSvz,Did You See,J Hus,gb,2017 Q1,2914097,53,53,78,4,3.0,1.0,78.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-09
1716,CongratulationsPost Malone,3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Post Malone,gb,2017 Q1,2905875,84,84,157,7,6.0,1.0,157.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-16
2656,First Things FirstStormzy,0ix3RUQ76mECOKP6LDPy66,First Things First,Stormzy,gb,2017 Q1,2851425,22,22,157,4,3.0,1.0,22.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-02
6203,PlacesMartin Solveig,6O85MfGECKBqAK2MgSbCaj,Places,Martin Solveig,gb,2017 Q1,2841957,78,78,193,8,7.0,1.0,157.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-09
9596,"i hate u, i love u (feat. olivia o'brien)gnash",7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,gb,2017 Q1,2834182,88,88,190,10,9.0,1.0,161.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
3038,Gold DiggerKanye West,5XJJdNPkwmbUwE79gv0NxK,Gold Digger,Kanye West,gb,2017 Q1,2829164,166,166,198,11,9.0,1.0,189.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
4170,Jorja InterludeDrake,13e6f8t7RKXuxZ0JdaaJRG,Jorja Interlude,Drake,gb,2017 Q1,2826490,34,34,48,2,1.0,1.0,34.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
7043,Scars To Your BeautifulAlessia Cara,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Alessia Cara,gb,2017 Q1,2814958,72,72,193,9,8.0,1.0,142.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
6221,Play That SongTrain,77hjM9bMmgfTGJXv14UFmi,Play That Song,Train,gb,2017 Q1,2721456,82,82,132,7,6.0,1.0,96.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-16
1484,Cheap ThrillsSia,27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,gb,2017 Q1,2695753,58,58,187,9,8.0,1.0,148.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
8977,When We Were YoungAdele,7IWkJwX9C0J7tHurTD7ViL,When We Were Young,Adele,gb,2017 Q1,2681274,103,103,167,9,8.0,1.0,121.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
282,Adventure of a LifetimeColdplay,69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,Coldplay,gb,2017 Q1,2662204,100,100,195,10,9.0,1.0,181.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
8528,Trust Nobody (feat. Selena Gomez & Tory Lanez)Cashmere Cat,2wDjpPW3HZdA9quPPmZAMu,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,gb,2017 Q1,2653172,65,65,167,7,6.0,1.0,110.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
5464,Needed MeRihanna,1Tt4sE4pXi57mTD1GCzsqm,Needed Me,Rihanna,gb,2017 Q1,2650996,101,101,199,10,9.0,1.0,178.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
1602,"City Of Stars - From ""La La Land"" SoundtrackRyan Gosling",0LtVx5vsq9nfpGsWgjUin6,"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling,gb,2017 Q1,2646405,58,58,183,7,6.0,1.0,126.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-19
5528,Ni**as In ParisJAY-Z,2KpCpk6HjXXLb7nnXoXA5O,Ni**as In Paris,JAY-Z,gb,2017 Q1,2625853,130,130,191,10,8.0,1.0,173.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
3555,House WorkJax Jones,4Kln4sYiZzemzfdbLXW00G,House Work,Jax Jones,gb,2017 Q1,2603175,79,79,186,9,8.0,1.0,79.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
1372,Can't StopRed Hot Chili Peppers,3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,gb,2017 Q1,2593599,107,107,181,9,8.0,1.0,146.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
2397,EverglowColdplay,6aG68QSwv0hgNTq90I2GOE,Everglow,Coldplay,gb,2017 Q1,2550031,70,70,132,7,6.0,1.0,132.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
7078,Send My Love (To Your New Lover)Adele,4BHzQ9C00ceJxfG16AlNWb,Send My Love (To Your New Lover),Adele,gb,2017 Q1,2548226,94,94,190,10,9.0,1.0,182.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
7243,Shining (feat. Beyoncé & Jay-Z)DJ Khaled,3OoZagIW3YK8vjt0ws6NOI,Shining (feat. Beyoncé & Jay-Z),DJ Khaled,gb,2017 Q1,2490610,83,83,143,6,5.0,1.0,83.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-23
6876,SacrificesDrake,0xl1w2q4VLojeXp4JfazPL,Sacrifices,Drake,gb,2017 Q1,2458451,43,43,56,2,1.0,1.0,43.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
8910,What Do You Mean?Justin Bieber,3pzjHKrQSvXGHQ98dx18HI,What Do You Mean?,Justin Bieber,gb,2017 Q1,2456147,103,103,198,10,9.0,1.0,179.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
1215,Broccoli (feat. Lil Yachty)Shelley FKA DRAM,7yyRTcZmCiyzzJlNzGC9Ol,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,gb,2017 Q1,2450296,95,95,176,9,8.0,1.0,162.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
6566,ReminderThe Weeknd,37F0uwRSrdzkBiuj0D5UHI,Reminder,The Weeknd,gb,2017 Q1,2449203,80,80,200,9,4.0,1.0,200.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
8978,When You Love SomeoneJames TW,5fX2oPyLCe5mBKqGDbOWqC,When You Love Someone,James TW,gb,2017 Q1,2405956,141,141,196,9,8.0,1.0,141.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
557,Are You Sure? (feat. Ty Dolla $ign)Kris Kross Amsterdam,0fH86zQcE2CmATQju6WpXv,Are You Sure? (feat. Ty Dolla $ign),Kris Kross Amsterdam,gb,2017 Q1,2405261,119,119,191,9,8.0,1.0,179.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
7437,Sneakin’Drake,4ckuS4Nj4FZ7i3Def3Br8W,Sneakin’,Drake,gb,2017 Q1,2388687,136,136,194,9,7.0,1.0,156.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
8062,That's My GirlFifth Harmony,2ACOWPLUe4A4KuQ5ioD2od,That's My Girl,Fifth Harmony,gb,2017 Q1,2385783,104,104,181,9,8.0,1.0,163.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
7224,She's So LovelyScouting For Girls,0JpxNq2SYwPt2uSqdcSvyQ,She's So Lovely,Scouting For Girls,gb,2017 Q1,2359766,132,132,197,9,8.0,1.0,180.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
2626,Find MeSigma,2Wr970IfovsSGnfkE08iMF,Find Me,Sigma,gb,2017 Q1,2351724,75,75,131,7,6.0,1.0,120.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
358,AlarmAnne-Marie,0OwX5aROoW1Iip8FV51Efg,Alarm,Anne-Marie,gb,2017 Q1,2336760,84,84,183,9,8.0,1.0,165.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
6456,RadioactiveImagine Dragons,6Ep6BzIOB9tz3P4sWqiiAB,Radioactive,Imagine Dragons,gb,2017 Q1,2333080,156,156,198,9,6.0,1.0,191.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-19
4989,Make Me (Cry)Noah Cyrus,2BrzlUj1u1CtvaJDGIKpsP,Make Me (Cry),Noah Cyrus,gb,2017 Q1,2320723,69,69,178,7,6.0,1.0,150.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
6022,PandaDesiigner,5OOkp4U9P9oL23maHFHL1h,Panda,Desiigner,gb,2017 Q1,2317290,102,102,180,9,8.0,1.0,177.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
425,All Night (feat. Knox Fortune)Chance the Rapper,60xaS8mYBKUW4VQQ666N0T,All Night (feat. Knox Fortune),Chance the Rapper,gb,2017 Q1,2231574,127,127,174,7,6.0,1.0,174.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-16
6620,RideTwenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,gb,2017 Q1,2201613,116,116,186,9,8.0,1.0,186.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
337,Ain't My FaultZara Larsson,0ADG9OgdVTL7fgREP75BrZ,Ain't My Fault,Zara Larsson,gb,2017 Q1,2190488,95,95,166,8,6.0,1.0,147.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
2781,Fresh EyesAndy Grammer,4nMlau89VAjmV7agkl7OY3,Fresh Eyes,Andy Grammer,gb,2017 Q1,2187593,127,127,196,9,8.0,1.0,196.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
9199,Would I Lie to YouJohn Gibbons,6Zp0OnaLtS9AjtK1jeC930,Would I Lie to You,John Gibbons,gb,2017 Q1,2179674,71,71,172,7,6.0,1.0,172.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
4756,Lose YouDrake,2Na0z2gfN67Rzf0vp74Wi3,Lose You,Drake,gb,2017 Q1,2170440,46,46,64,2,1.0,1.0,46.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
2487,FadedAlan Walker,7gHs73wELdeycvS48JfIos,Faded,Alan Walker,gb,2017 Q1,2147917,112,112,199,9,8.0,1.0,199.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
7910,T-ShirtMigos,7KOlJ92bu51cltsD9KU5I7,T-Shirt,Migos,gb,2017 Q1,2144383,85,85,199,7,6.0,1.0,85.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-02
1482,Cheap Thrills (feat. Sean Paul)Sia,378iszndTZAR4dH8kwsLC6,Cheap Thrills (feat. Sean Paul),Sia,gb,2017 Q1,2110317,111,111,200,9,8.0,1.0,190.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
2050,Do Not DisturbDrake,2KvHC9z14GSl4YpkNMX384,Do Not Disturb,Drake,gb,2017 Q1,2091802,55,55,60,2,1.0,1.0,55.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
7175,Shape of You - AcousticEd Sheeran,5ULRlgiSPSKTaJN1vU9yso,Shape of You - Acoustic,Ed Sheeran,gb,2017 Q1,2049024,90,90,177,6,5.0,1.0,90.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-16
7073,Selfish (feat. Rihanna)Future,2Ce5IyMlVRVvN997ZJjJJA,Selfish (feat. Rihanna),Future,gb,2017 Q1,2047544,99,99,120,5,4.0,1.0,106.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-02
1458,Chantaje (feat. Maluma)Shakira,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),Shakira,gb,2017 Q1,2039018,116,116,197,7,6.0,1.0,166.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
2974,GlowDrake,28irpKCCK9nn9DZSik2zEx,Glow,Drake,gb,2017 Q1,2000326,51,51,73,2,1.0,1.0,51.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
7452,So Good (feat. Ty Dolla $ign)Zara Larsson,54LGxQGf5LPXNGjtzDZ5IE,So Good (feat. Ty Dolla $ign),Zara Larsson,gb,2017 Q1,1987687,133,133,200,7,3.0,1.0,133.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-02
1488,Cheerleader - Felix Jaehn Remix Radio EditOMI,7vFoFDWqTX0mHzLfrF1Cfy,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,gb,2017 Q1,1967829,151,151,192,7,6.0,1.0,184.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-16
1353,Can't Have EverythingDrake,5f5r2N4Lp9WoULWPH9zp2W,Can't Have Everything,Drake,gb,2017 Q1,1962389,54,54,72,2,1.0,1.0,54.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
2562,Fast CarJonas Blue,6OZh916QF8XNunWaP97WEZ,Fast Car,Jonas Blue,gb,2017 Q1,1944952,80,80,199,8,6.0,1.0,189.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
4803,Lot to LearnLuke Christopher,3TRFq09DUgYj1mug6RRqJW,Lot to Learn,Luke Christopher,gb,2017 Q1,1942422,134,134,174,7,6.0,1.0,174.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
5608,No More Sad SongsLittle Mix,5ZnJsoJGkQ5K15W7Rcr5JO,No More Sad Songs,Little Mix,gb,2017 Q1,1891801,83,83,104,4,3.0,1.0,93.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-09
5698,Nothings Into SomethingsDrake,6MbH1QiphMCPTqVEVC7UYi,Nothings Into Somethings,Drake,gb,2017 Q1,1890704,58,58,76,2,1.0,1.0,58.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
8634,Velvet / Jenny Francis - InterludeStormzy,4GXMWFus2XoMuPqP5gdgld,Velvet / Jenny Francis - Interlude,Stormzy,gb,2017 Q1,1872879,44,44,136,3,2.0,1.0,44.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-02
1310,Cake - Challenge VersionFlo Rida,6t2ubAB4iSYOuIpRAOGd4t,Cake - Challenge Version,Flo Rida,gb,2017 Q1,1840458,148,148,194,7,6.0,1.0,194.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-19
1409,CarolineAminé,5GFDrUTLGJix84sNhjCG0g,Caroline,Aminé,gb,2017 Q1,1836672,129,129,200,7,6.0,1.0,200.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
6588,Return Of The RucksackStormzy,3dMHFZsBzy45jpIHR7l8AJ,Return Of The Rucksack,Stormzy,gb,2017 Q1,1833569,47,47,139,3,2.0,1.0,47.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-02
3322,Hear Me NowAlok,1a5Yu5L18qNxVhXx38njON,Hear Me Now,Alok,gb,2017 Q1,1812646,153,153,194,7,6.0,1.0,194.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-12
7289,Shut Up and DanceWALK THE MOON,4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,gb,2017 Q1,1807551,132,132,200,7,3.0,1.0,171.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
1356,Can't Hold Us - feat. Ray DaltonMacklemore & Ryan Lewis,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,gb,2017 Q1,1780733,98,98,158,6,5.0,1.0,158.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
8541,Tunnel VisionKodak Black,4Q3N4Ct4zCuIHuZ65E3BD4,Tunnel Vision,Kodak Black,gb,2017 Q1,1769098,120,120,156,5,4.0,1.0,156.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-02
3908,Ice MeltsDrake,7bJ4mu7MHa3rHiNyKjOoSl,Ice Melts,Drake,gb,2017 Q1,1768709,62,62,75,2,1.0,1.0,62.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
3877,I'm a MessEd Sheeran,3KiktyOxQd2Z0bmnabgRq2,I'm a Mess,Ed Sheeran,gb,2017 Q1,1747334,81,81,193,6,3.0,1.0,81.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-12
3064,Good GriefBastille,6IGA5YrFiEr5ANrMqKkR6H,Good Grief,Bastille,gb,2017 Q1,1741206,148,148,198,7,5.0,1.0,148.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
7354,Since Way BackDrake,5JUu0unA8VwhTZ9LkMWUVI,Since Way Back,Drake,gb,2017 Q1,1720523,61,61,81,2,1.0,1.0,61.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-03-23
515,"Another Day Of Sun - From ""La La Land"" SoundtrackLa La Land Cast",0zCfmceT1YvtZXGbR6Roht,"Another Day Of Sun - From ""La La Land"" Soundtrack",La La Land Cast,gb,2017 Q1,1711241,76,76,167,5,4.0,1.0,127.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-19
2961,Give Me LoveEd Sheeran,0SuG9kyzGRpDqrCWtgD6Lq,Give Me Love,Ed Sheeran,gb,2017 Q1,1687599,65,65,181,5,3.0,1.0,65.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-12
7012,Say To MeWHTKD,7K0IjUT3y2wGxqd6u5DrTs,Say To Me,WHTKD,gb,2017 Q1,1673242,118,118,184,6,5.0,1.0,140.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
1048,BloodstreamEd Sheeran,5mxTOMM0NiRud8VdBxbA2o,Bloodstream,Ed Sheeran,gb,2017 Q1,1631702,112,112,194,6,3.0,1.0,112.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-12
7824,Sunset LoverPetit Biscuit,0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,Petit Biscuit,gb,2017 Q1,1614321,136,136,188,6,4.0,1.0,154.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-12
7950,Take Me OutFranz Ferdinand,6ooluO7DiEhI1zmK94nRCM,Take Me Out,Franz Ferdinand,gb,2017 Q1,1613193,145,145,199,6,3.0,1.0,160.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-09
2064,Dog Days Are OverFlorence + The Machine,1YLJVmuzeM2YSUkCCaTNUB,Dog Days Are Over,Florence + The Machine,gb,2017 Q1,1587394,141,141,198,6,2.0,1.0,188.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-26
3810,I Will WaitMumford & Sons,71O1jD7bF3cdMPvPi186V6,I Will Wait,Mumford & Sons,gb,2017 Q1,1562926,150,150,199,6,4.0,1.0,169.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-12
4328,LUVTory Lanez,16Ah4QqH4mgYVXqfC4mdSd,LUV,Tory Lanez,gb,2017 Q1,1523013,143,143,191,6,5.0,1.0,143.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-05
6641,RiptideVance Joy,7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,gb,2017 Q1,1510277,184,184,200,6,3.0,1.0,200.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-02-02
2281,DrunkEd Sheeran,4RnCPWlBsY7oUDdyruod7Y,Drunk,Ed Sheeran,gb,2017 Q1,1501811,97,97,198,5,1.0,1.0,97.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2017-01-12
