,Song ID,Spotify URI,Song Title,Performer,Region,Quarter,Quarterly Streams,Best Quarterly Position,Peak Position,Worst Position,Time On Chart,Consecutive Weeks,Instance,Previous Week,Chart URL
3812,I Wish (feat. Mabel)Joel Corry,0YORgvqP1MotwCnDZzOwII,I Wish (feat. Mabel),Joel Corry,gb,2021 Q4,738196,54,54,54,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-04
3978,In The FireDave,3mtaSob1BQO4HMSA8lWKRt,In The Fire,Dave,gb,2021 Q4,736022,149,6,178,12,11.0,1.0,130.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
8160,"The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)Taylor Swift, Gary Lightbody",0y6kdSRCVQhSsHSpWvTUm7,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),"Taylor Swift, Gary Lightbody",gb,2021 Q4,733608,62,62,62,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
4516,Let’s Go Home TogetherElla Henderson,4CH0dVylkeBPydRM7AaG8g,Let’s Go Home Together,Ella Henderson,gb,2021 Q4,729524,157,24,183,33,32.0,1.0,152.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
931,Better Man (Taylor's Version) (From The Vault)Taylor Swift,4OmFmE0fzcMG6g0Y8p4eSD,Better Man (Taylor's Version) (From The Vault),Taylor Swift,gb,2021 Q4,721478,63,63,63,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
246,A-O-KTai Verdes,1sx0XsWUusUoPstbvokZjP,A-O-K,Tai Verdes,gb,2021 Q4,716984,165,125,197,6,4.0,1.0,125.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
9767,t r a n s p a r e n t s o u l feat. Travis BarkerWILLOW,5JKnYZOhSP7rOK0jPYcCjV,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,gb,2021 Q4,716943,154,25,197,20,19.0,1.0,137.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
7645,Stay Stay Stay (Taylor's Version)Taylor Swift,7eQj6r5PIdYKEIZjucBMcq,Stay Stay Stay (Taylor's Version),Taylor Swift,gb,2021 Q4,713116,65,65,65,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
4042,IrisThe Goo Goo Dolls,6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,gb,2021 Q4,710570,169,143,195,15,3.0,8.0,176.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
9578,happierOlivia Rodrigo,2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rodrigo,gb,2021 Q4,708395,161,10,200,21,20.0,1.0,145.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
8946,What You KnowTwo Door Cinema Club,3UjtIALeg72qmJiKPWBvM3,What You Know,Two Door Cinema Club,gb,2021 Q4,707822,174,69,200,79,7.0,7.0,163.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
7122,Seven Nation ArmyThe White Stripes,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,The White Stripes,gb,2021 Q4,704808,177,90,200,64,2.0,7.0,185.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
6182,PhotographEd Sheeran,6fxVffaTuwjgEk5h9QyRjy,Photograph,Ed Sheeran,gb,2021 Q4,704065,179,30,198,62,1.0,3.0,189.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
3796,I Wanna Dance with Somebody (Who Loves Me)Whitney Houston,2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,gb,2021 Q4,703007,180,99,200,131,41.0,19.0,169.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
