year_quarter,genre,Genre_Group,streams,gdp_(£m),inflation_(%),hfce_(£m),unemployment_rate_(%),max_streams_per_genre,is_max_streams,max_stream_genre
2017 Q3,Female Vocalists,Chill,257034,601961,2.7,374572,4.3,257034,true,Hip-Hop
2017 Q3,Folk,Folk,794650,601961,2.7,374572,4.3,794650,true,Hip-Hop
2017 Q3,Folk Pop,Folk,250997,601961,2.7,374572,4.3,250997,true,Hip-Hop
2017 Q3,French House,Dance/House,11167428,601961,2.7,374572,4.3,11167428,true,Hip-Hop
2017 Q3,Future Bass,Electronic,258966,601961,2.7,374572,4.3,258966,true,Hip-Hop
2017 Q3,Grime,Electronic,68975504,601961,2.7,374572,4.3,68975504,true,Hip-Hop
2017 Q3,Hip-Hop,Rap/Hip-Hop,147896166,601961,2.7,374572,4.3,147896166,true,Hip-Hop
2017 Q3,House,Dance/House,79304687,601961,2.7,374572,4.3,79304687,true,Hip-Hop
2017 Q3,Indie,Indie,56062112,601961,2.7,374572,4.3,56062112,true,Hip-Hop
2017 Q3,Indie Pop,Pop,6307041,601961,2.7,374572,4.3,6307041,true,Hip-Hop
2017 Q3,K-Pop,K-Pop,264099,601961,2.7,374572,4.3,264099,true,Hip-Hop
2017 Q3,Latin,Latin,58010477,601961,2.7,374572,4.3,58010477,true,Hip-Hop
2017 Q3,Latin Pop,Latin,6632845,601961,2.7,374572,4.3,6632845,true,Hip-Hop
2017 Q3,Melodic Rap,Rap/Hip-Hop,17069522,601961,2.7,374572,4.3,17069522,true,Hip-Hop
2017 Q3,Metal,Rock/Punk/Metal,8538032,601961,2.7,374572,4.3,8538032,true,Hip-Hop
2017 Q3,Moombahton,Electronic,23171953,601961,2.7,374572,4.3,23171953,true,Hip-Hop
2017 Q3,Motown,Soul,2149259,601961,2.7,374572,4.3,2149259,true,Hip-Hop
2017 Q3,Nu Metal,Rock/Punk/Metal,1678074,601961,2.7,374572,4.3,1678074,true,Hip-Hop
2017 Q3,Party,Other,11555727,601961,2.7,374572,4.3,11555727,true,Hip-Hop
2017 Q3,Pop,Pop,23334760,601961,2.7,374572,4.3,23334760,true,Hip-Hop
